Team,Player,Height,Weight,Age
Air Force,Tim Anderson,75,180,Senior
Air Force,Derek Brooks,77,185,Freshman
Air Force,Phillip Brown,79,230,Freshman
Air Force,Tyler Burke,74,180,Freshman
Air Force,Fred Coleman,77,195,Freshman
Air Force,Saj El-Amin,74,180,Sophomore
Air Force,Tom Fow,78,195,Freshman
Air Force,Andrew Henke,78,215,Junior
Air Force,Matt Holland,78,205,Junior
Air Force,Adam Hood,73,184,Senior
Air Force,Anwar Johnson,77,195,Junior
Air Force,Eric Kenzik,81,220,Senior
Air Force,Keith Maren,80,240,Senior
Air Force,Mike McClain,80,225,Sophomore
Air Force,Avery Merriex,74,180,Sophomore
Air Force,Grant Parker,79,215,Sophomore
Air Force,Brian Scheller,76,185,Sophomore
Air Force,Mark Summerfield,75,180,Freshman
Air Force,Evan Washington,76,190,Freshman
Akron,Mike Bardo,82,240,Freshman
Akron,Tim Carroll,75,215,Sophomore
Akron,Eric Coblentz,74,185,Freshman
Akron,Jimmy Conyers,77,220,Junior
Akron,Nick Dials,73,180,Senior
Akron,Nick Goddard,72,175,Senior
Akron,Nate Linhart,79,205,Junior
Akron,Chris McKnight,79,225,Sophomore
Akron,Brett McKnight,78,245,Freshman
Akron,Steve McNees,74,170,Freshman
Akron,Cedrick Middleton,72,175,Senior
Akron,Quade Milum,79,180,Senior
Akron,Darryl Roberts,71,165,Sophomore
Akron,Jeremy Sallee,70,150,Junior
Akron,Ronnie Steward,70,175,Freshman
Akron,Steve Swiech,81,250,Freshman
Akron,Jeremiah Wood,78,235,Senior
Alabama,Greg Cage,76,208,Sophomore
Alabama,Yamene Coleman,81,236,Sophomore
Alabama,John Dill,80,254,Senior
Alabama,Alonzo Gee,78,219,Junior
Alabama,Richard Hendrix,81,255,Junior
Alabama,Senario Hillman,73,188,Freshman
Alabama,Brandon Hollinger,71,167,Junior
Alabama,Demetrius Jemison,79,234,Sophomore
Alabama,Justin Knox,81,236,Freshman
Alabama,Rico Pickett,75,178,Freshman
Alabama,Mykal Riley,78,185,Senior
Alabama,Kyle Sellers,72,155,Senior
Alabama,Ronald Steele,73,191,Senior
Alabama,Mikhail Torrance,77,196,Sophomore
Alabama,Justin Tubbs,75,188,Sophomore
Alabama A&M,Norris Arnold,80,225,Junior
Alabama A&M,Jonathan Belt,78,235,Sophomore
Alabama A&M,Isiah Cross,75,200,Freshman
Alabama A&M,Jabari DeShields,70,160,Freshman
Alabama A&M,James English,76,175,Freshman
Alabama A&M,Mickell Gladness,83,205,Senior
Alabama A&M,Cornelius Hester,75,175,Sophomore
Alabama A&M,Evan Hilton,75,200,Junior
Alabama A&M,Jonathan Inman,77,215,Sophomore
Alabama A&M,Desmond Jackson,73,185,Sophomore
Alabama A&M,Kudus Ogbara,77,175,Senior
Alabama A&M,Reggie Porter,69,145,Freshman
Alabama A&M,Trant Simpson,76,160,Junior
Alabama A&M,LaNorris Smith,76,215,Sophomore
Alabama A&M,John Smith,78,260,Junior
Alabama A&M,Andrew Williams,76,215,Junior
Alabama State,Joel Bosh,79,185,Senior
Alabama State,Brandon Brooks,74,180,Junior
Alabama State,Tramaine Butler,75,183,Freshman
Alabama State,Roland Fitch,79,240,Freshman
