Rank,Player,Team,Pos,Efficiency
1,Kenny George,NC-Asheville Bulldogs,C,68.9%
2,Tyler Tiedeman,Boise St. Broncos,F,68.7%
3,Tony Easley,Murray St. Racers,F,68.4%
4,Peter Campbell,Butler Bulldogs,F,66.7%
5,Shan Foster,Vanderbilt Commodores,G,66.4%
6,Vladimir Kuljanin,NC-Wilmington Seahawks,C,66.3%
7,David Padgett,Louisville Cardinals,F,66.2%
8,Jarvis Varnado,Mississippi St. Bulldogs,F,65.9%
9,Maarty Leunen,Oregon Ducks,F,65.8%
10,Matt Nelson,Boise St. Broncos,F,65.7%
11,Lee Cummard,Brigham Young Cougars,G,65.4%
12,Dante Milligan,Massachusetts Minutemen,F,65.2%
13,Lamar Sanders,Lamar Cardinals,F,65.0%
14,Tai Wesley,Utah St. Aggies,F,64.8%
15,Ahmad Nivins,St. Joseph's Hawks,F,64.8%
16,Jaycee Carroll,Utah St. Aggies,G,64.3%
17,Anthony Smith,Liberty Flames,G,64.3%
18,Will Thomas,George Mason Patriots,F,64.2%
19,Parfait Bitee,Rhode Island Rams,G,64.2%
20,Anthony Slack,Illinois St. Redbirds,F,64.2%
21,Joey Dorsey,Memphis Tigers,F,64.2%
22,Andrew Strait,Montana Grizzlies,F,64.0%
23,Jonathan Wallace,Georgetown Hoyas,G,63.9%
24,Randall Hanke,Providence Friars,F,63.6%
25,Hatila Passos,New Mexico St. Aggies,C,63.5%
26,Brandon Davis,South Alabama Jaguars,F,63.4%
27,Shawn Huff,Valparaiso Crusaders,G,63.3%
28,Derrick Brown,Xavier Musketeers,F,63.2%
29,Johnnie Bryant,Utah Utes,G,63.1%
30,Rob Ferguson,St. Joseph's Hawks,F,63.0%
31,Josh Thornton,Towson Tigers,G,62.9%
32,Darnell Jackson,Kansas Jayhawks,F,62.8%
33,Arinze Onuaku,Syracuse Orange,F,62.5%
34,Darnell Harris,La Salle Explorers,G,62.5%
35,Jon Avery,Indiana - Purdue Jaguars,F,62.4%
36,Mario Chalmers,Kansas Jayhawks,G,62.3%
37,Ryan Tillema,Green Bay Phoenix,G,62.1%
38,Ivan Elliott,UC Santa Barbara Gauchos,F,62.1%
39,Jordan Hill,Arizona Wildcats,F,62.1%
40,Jermaine Griffin,Texas-Arlington Mavericks,C,62.0%
41,Quan Prowell,Auburn Tigers,G,61.9%
42,Connor Atchley,Texas Longhorns,F,61.8%
43,Dwayne Curtis,Mississippi Rebels,C,61.8%
