Rank,Player,Team,Pos,Efficiency
1,Artsiom Parakhouski,Radford Highlanders,C,26.26
2,Omar Samhan,St. Mary's Gaels,C,25.85
3,Evan Turner,Ohio St Buckeyes,F,25.29
4,Luke Babbitt,Nevada Wolf Pack,F,24.41
5,Kenneth Faried,Morehead St. Eagles,F,23.86
6,Tyler Cain,South Dakota Coyotes,F,23.53
7,Keith Benson,Oakland Golden Grizzlies,C,23.49
7,Marqus Blakely,Vermont Catamounts,F,23.49
9,Denzel Bowles,James Madison Dukes,F,23.12
10,Landry Fields,Stanford Cardinal,F,22.81
11,Damian Saunders,Duquesne Dukes,F,22.69
12,Adnan Hodzic,Lipscomb Bison,C,22.60
13,Jarvis Varnado,Mississippi St. Bulldogs,F,22.39
14,Ryan Rossiter,Siena Saints,F,22.12
15,Aubrey Coleman,Houston Cougars,G,21.91
16,Damion James,Texas Longhorns,G,21.74
17,Luke Harangody,Notre Dame Fighting Irish,F,21.73
18,Wesley Johnson,Syracuse Orange,F,21.63
19,Greg Monroe,Georgetown Hoyas,C,21.56
20,Ekpe Udoh,Baylor Bears,F,21.44
21,Quincy Pondexter,Washington Huskies,F,21.19
22,Patrick Sullivan,Southeastern Louisiana Lions,C,21.19
23,Daniel Emerson,Mercer Bears,F,21.03
24,Robert Glenn,Indiana - Purdue Jaguars,F,20.89
25,James Anderson,Oklahoma St. Cowboys,G,20.58
26,Tyren Johnson,Louisiana-Lafayette Ragin' Cajuns,F,20.57
27,Jamine Peterson,Providence Friars,F,20.29
28,Anthony Johnson,Fairfield Stags,F,20.09
29,Dominique Jones,South Florida Bulls,G,20.00
29,Cole Aldrich,Kansas Jayhawks,C,20.00
31,Kevin Thompson,Morgan St. Bears,F,19.86
32,Lavoy Allen,Temple Owls,F,19.86
33,Jimmer Fredette,Brigham Young Cougars,G,19.82
34,Jerome Jordan,Tulsa Golden Hurricane,C,19.74
35,Mac Koshwal,DePaul Blue Demons,F,19.74
36,Greivis Vasquez,Maryland Terrapins,G,19.70
37,Ed Davis,North Carolina Tar Heels,F,19.70
38,Hassan Whiteside,Marshall Thundering Herd,F,19.65
39,DeMarcus Cousins,Kentucky Wildcats,F,19.63
40,Joseph Harris,Coastal Carolina Chanticleers,F,19.57
41,Larry Sanders,VCU Rams,F,19.51
42,Jonathan Rodriguez,Campbell Fighting Camels,F,19.47
43,Justin Rutty,Quinnipiac Bobcats,F,19.45
44,Darington Hobson,New Mexico Lobos,G,19.40
45,Robbie Hummel,Purdue Boilermakers,F,19.33
46,Trevor Booker,Clemson Tigers,F,19.31
47,Paul George,Fresno St. Bulldogs,F,19.24
47,Jeremy Lin,Harvard Crimson,G,19.24
49,Jamie Jones,Portland St. Vikings,F,19.16
50,Marquez Haynes,Texas-Arlington Mavericks,G,19.13
51,David Kool,Western Michigan Broncos,G,18.97
52,Trey Thompkins,Georgia Bulldogs,F,18.87
53,Chris Gaston,Fordham Rams,F,18.68
54,Adrian Oliver,San Jose St. Spartans,G,18.65
55,Gordon Hayward,Butler Bulldogs,F,18.62
56,Josh Slater,Lipscomb Bison,G,18.60
57,Alex Franklin,Siena Saints,F,18.50
57,John Shurna,Northwestern Wildcats,F,18.50
59,Tai Wesley,Utah St. Aggies,F,18.49
60,Patrick Patterson,Kentucky Wildcats,F,18.45
61,Lazar Hayward,Marquette Golden Eagles,F,18.44
62,Charles Jenkins,Hofstra Pride,G,18.38
63,Mark Payne,UC Davis Aggies,G,18.33
64,Jimmy Butler,Marquette Golden Eagles,G,18.29
65,Manny Harris,Michigan Wolverines,G,18.29
66,Tasmin Mitchell,Louisiana State Tigers,F,18.26
67,Jon Scheyer,Duke Blue Devils,G,18.23
68,Demond Watt,Texas A&M CC Islanders,F,18.22
69,George Odufuwa,North Texas Mean Green Eagles,F,18.12
70,John Holland,Boston U Terriers,F,18.09
71,Andrew Nicholson,St. Bonaventure Bonnies,F,18.07
72,Drew Viney,Loyola Marymount Lions,F,18.03
72,Brandon Bowdry,Eastern Michigan Eagles,F,18.03
74,Michael Deloach,Norfolk State Spartans,G,18.00
75,Ben Stywall,NC-Greensboro Spartans,F,17.97
76,Bilal Benn,Niagara Purple Eagles,G,17.97
77,Eli Holman,Detroit Titans,C,17.94
77,Cory Higgins,Colorado Buffaloes,G,17.94
79,John Wall,Kentucky Wildcats,G,17.92
80,Jeff Foote,Cornell Big Red,C,17.91
81,Frank Turner,Canisius Golden Griffins,G,17.91
82,Jeremy Simmons,Charleston Cougars,F,17.86
83,Dana Smith,Longwood Lancers,F,17.84
84,Kyle Singler,Duke Blue Devils,F,17.80
85,Andrew Goudelock,Charleston Cougars,G,17.74
86,C.J. McCollum,Lehigh Mountain Hawks,G,17.70
87,Derrick Favors,Georgia Tech Yellow Jackets,F,17.69
88,Kelvin Martin,Charleston Southern Buccaneers,F,17.67
89,Damian Lillard,Weber St. Wildcats,G,17.65
90,Anatoly Bose,Nicholls State Colonels,F,17.63
91,Vernon Teel,Loyola Marymount Lions,G,17.62
92,Al-Farouq Aminu,Wake Forest Demon Deacons,F,17.61
93,Jordan Crawford,Xavier Musketeers,G,17.60
93,Matt Mullery,Brown Bears,F,17.60
95,Craig Brackins,Iowa St. Cyclones,F,17.59
96,Nick Murphy,Jacksonville St. Gamecocks,G,17.59
97,Kawhi Leonard,San Diego St. Aztecs,F,17.56
98,Ceola Clark,Western Illinois Leathernecks,G,17.48
99,Corey Hassan,Sacred Heart Pioneers,F,17.46
100,Tracy Smith,N.C. State Wolfpack,F,17.46
