Air Force,31,10,21,32.3,1846.0,59.5,46.8,96.0,632,1428,44.3,333,524,63.5,176,562,31.3,50.4,52.9,36.7,51.4,18.8,29.8,0.96,1773,57.2,46.9,851,27.5,24.2,220,7.1,69.6,631,20.4,85,2.7,61.6,389,12.5,0.99,8.4,155,5.0,21.3,393,12.7,3.5,51,1.6,547,17.6,4
Akron,35,24,11,68.6,2357.0,67.3,54.0,104.9,877,2024,43.3,483,735,65.7,235,694,33.9,49.1,52.1,36.3,51.9,19.5,28.5,1.05,2472,70.6,52.0,1269,36.3,37.2,467,13.3,66.7,802,22.9,102,2.9,53.9,473,13.5,1.02,9.0,213,6.1,19.7,464,13.3,6.0,114,3.3,682,19.5,13
Alabama,32,17,15,53.1,2103.0,67.8,53.4,104.2,791,1794,44.1,435,616,70.6,175,500,35.0,49.0,52.5,34.3,56.2,19.8,24.0,1.04,2192,68.5,50.4,1126,35.2,35.0,387,12.1,65.8,739,23.1,123,3.8,54.2,429,13.4,1.05,11.8,249,7.8,19.5,410,12.8,7.3,127,4.0,583,18.2,9
Alabama A&M,27,11,16,40.7,1986.0,73.6,48.5,89.5,599,1568,38.2,472,739,63.9,108,371,29.1,41.6,46.3,47.1,55.2,26.5,18.2,0.9,1778,65.9,47.3,1004,37.2,33.9,376,13.9,60.6,628,23.3,113,4.2,48.1,288,10.7,0.65,12.5,249,9.2,22.3,443,16.4,9.1,143,5.3,550,20.4,7
Alabama State,31,16,15,51.6,2111.0,68.1,49.6,94.6,667,1651,40.4,474,739,64.1,190,587,32.4,46.2,49.9,44.8,47.7,23.7,28.5,0.95,1998,64.5,52.1,1100,35.5,35.5,400,12.9,68.7,700,22.6,106,3.4,60.1,401,12.9,0.8,10.8,228,7.4,23.7,501,16.2,8.1,129,4.2,634,20.5,17
Albany,32,7,25,21.9,2118.0,66.2,49.2,94.8,710,1736,40.9,393,545,72.1,194,585,33.2,46.5,50.3,31.4,51.4,19.6,29.0,0.95,2007,62.7,52.0,1156,36.1,36.0,399,12.5,68.1,757,23.7,124,3.9,53.5,380,11.9,0.74,8.8,187,5.8,24.4,517,16.2,5.4,97,3.0,602,18.8,11
Alcorn State,31,2,29,6.5,2348.0,75.7,42.4,80.1,651,1717,37.9,443,721,61.4,135,437,30.9,41.8,45.6,42.0,54.9,23.6,21.5,0.8,1880,60.6,44.7,1059,34.2,28.8,349,11.3,60.6,710,22.9,122,3.9,41.3,269,8.7,0.42,9.1,214,6.9,27.3,642,20.7,5.2,99,3.2,670,21.6,20
American University,31,11,20,35.5,2027.0,65.4,47.8,95.8,681,1603,42.5,395,571,69.2,184,534,34.5,48.2,51.8,35.6,51.2,20.4,28.4,0.96,1941,62.6,51.6,1097,35.4,30.2,304,9.8,73.0,793,25.6,85,2.7,65.6,447,14.4,0.98,5.4,109,3.5,22.6,458,14.8,4.7,81,2.6,590,19.0,13
Appalachian State,37,24,13,64.9,2512.0,67.9,53.6,110.1,954,2006,47.6,579,785,73.8,279,703,39.7,54.5,58.1,39.1,48.8,20.9,30.3,1.1,2766,74.8,54.1,1429,38.6,35.5,414,11.2,72.7,1015,27.4,102,2.8,46.9,447,12.1,0.82,8.0,201,5.4,21.7,544,14.7,4.7,102,2.8,652,17.6,7
Arizona,31,16,15,51.6,2172.0,70.1,49.5,102.6,745,1681,44.3,545,744,73.3,194,542,35.8,50.1,54.8,44.3,49.4,24.5,26.1,1.03,2229,71.9,49.1,1062,34.3,29.6,302,9.7,68.5,760,24.5,96,3.1,51.5,384,12.4,0.88,8.6,186,6.0,20.1,436,14.1,4.3,78,2.5,595,19.2,15
Arizona State,33,22,11,66.7,2050.0,62.1,50.2,107.4,743,1645,45.2,445,625,71.2,271,735,36.9,53.4,56.7,38.0,42.9,20.2,36.9,1.07,2202,66.7,48.6,1050,31.8,28.3,281,8.5,69.0,769,23.3,80,2.4,62.0,461,14.0,1.17,10.5,216,6.5,19.2,393,11.9,4.7,80,2.4,542,16.4,9
Arkansas,32,14,18,43.8,2309.0,72.2,51.3,103.6,829,1859,44.6,532,782,68.0,201,579,34.7,50.0,53.6,42.1,52.5,22.3,25.2,1.04,2391,74.7,48.1,1103,34.5,30.7,351,11.0,65.5,752,23.5,105,3.3,53.1,440,13.8,1.0,10.0,232,7.2,19.0,439,13.7,6.8,130,4.1,598,18.7,15
Arkansas State,31,17,14,54.8,2111.0,68.1,52.8,102.3,768,1721,44.6,452,682,66.3,172,493,34.9,49.6,52.8,39.6,55.2,20.9,23.9,1.02,2160,69.7,51.8,1188,38.3,33.8,367,11.8,69.9,821,26.5,117,3.8,52.9,406,13.1,0.94,7.5,159,5.1,20.4,430,13.9,7.2,129,4.2,562,18.1,16
Arkansas-Little Rock,30,8,22,26.7,2031.0,67.7,48.8,99.9,670,1576,42.5,503,720,69.9,185,501,36.9,48.4,52.9,45.7,47.8,24.8,27.4,1.0,2028,67.6,48.6,1019,34.0,29.0,296,9.9,68.1,723,24.1,92,3.1,54.2,363,12.1,0.9,6.9,141,4.7,19.8,402,13.4,4.8,81,2.7,597,19.9,14
Arkansas-Pine Bluff,34,18,16,52.9,2324.0,68.4,48.9,93.2,725,1778,40.8,575,861,66.8,141,466,30.3,44.7,49.5,48.4,53.9,26.5,19.5,0.93,2166,63.7,54.2,1286,37.8,35.6,422,12.4,72.9,864,25.4,137,4.0,58.1,421,12.4,0.74,9.9,229,6.7,24.4,567,16.7,7.0,121,3.6,764,22.5,23
Army,29,14,15,48.3,1891.0,65.2,47.6,92.5,637,1538,41.4,316,483,65.4,159,488,32.6,46.6,49.5,31.4,54.7,18.1,27.3,0.92,1749,60.3,50.2,928,32.0,30.5,300,10.3,69.9,628,21.7,91,3.1,52.4,334,11.5,0.78,12.6,239,8.2,22.7,430,14.8,5.4,74,2.6,580,20.0,13
Auburn,32,15,17,46.9,2290.0,71.6,52.4,105.8,850,1913,44.4,451,689,65.5,271,819,33.1,51.5,54.1,36.0,47.8,18.6,33.6,1.06,2422,75.7,50.5,1121,35.0,32.5,382,11.9,68.4,739,23.1,89,2.8,49.3,419,13.1,0.96,11.0,252,7.9,19.1,437,13.7,4.9,89,2.8,635,19.8,22
Austin Peay,32,17,15,53.1,2206.0,68.9,51.9,105.2,786,1727,45.5,548,790,69.4,200,547,36.6,51.3,55.2,45.7,50.5,23.6,25.9,1.05,2320,72.5,48.8,1092,34.1,32.0,347,10.8,65.6,745,23.3,110,3.4,54.6,429,13.4,0.94,8.6,189,5.9,20.8,458,14.3,5.7,107,3.3,547,17.1,16
Ball State,30,15,15,50.0,1926.0,64.2,48.5,94.4,617,1485,41.5,471,685,68.8,113,310,36.5,45.4,50.2,46.1,55.4,25.9,18.6,0.94,1818,60.6,50.2,1053,35.1,32.0,314,10.5,68.3,739,24.6,102,3.4,53.8,332,11.1,0.76,7.9,152,5.1,22.6,436,14.5,5.5,91,3.0,531,17.7,10
Baylor,36,28,8,77.8,2435.0,67.6,56.7,113.8,993,2040,48.7,530,731,72.5,255,662,38.5,54.9,58.0,35.8,53.3,19.1,27.6,1.14,2771,77.0,52.8,1407,39.1,38.5,443,12.3,67.2,964,26.8,95,2.6,51.3,509,14.1,1.04,9.7,237,6.6,20.2,491,13.6,11.3,242,6.7,639,17.8,15
Belmont,31,19,12,61.3,2190.0,70.6,51.3,103.5,763,1699,44.9,496,736,67.4,244,709,34.4,52.1,55.3,43.3,45.8,21.9,32.3,1.03,2266,73.1,50.4,1150,37.1,34.9,371,12.0,65.9,779,25.1,120,3.9,58.3,445,14.4,0.87,10.1,222,7.2,23.4,513,16.5,5.0,92,3.0,595,19.2,14
Bethune-Cookman,32,16,16,50.0,1990.0,62.2,52.6,98.3,720,1666,43.2,385,600,64.2,132,384,34.4,47.2,50.2,36.0,60.1,19.7,20.2,0.98,1957,61.2,51.6,1059,33.1,34.9,375,11.7,68.2,684,21.4,123,3.8,46.4,334,10.4,0.8,11.2,223,7.0,20.9,416,13.0,7.3,111,3.5,577,18.0,12
Binghamton,31,13,18,41.9,1973.0,63.6,50.7,96.8,690,1630,42.3,371,558,66.5,158,543,29.1,47.2,50.4,34.2,55.7,19.4,24.8,0.97,1909,61.6,50.0,1081,34.9,34.3,359,11.6,65.6,722,23.3,102,3.3,43.3,299,9.6,0.68,8.4,166,5.4,22.3,439,14.2,7.1,122,3.9,530,17.1,17
Boise State,32,15,17,46.9,2299.0,71.8,52.7,103.1,894,1942,46.0,390,578,67.5,192,578,33.2,51.0,53.5,29.8,59.2,16.5,24.3,1.03,2370,74.1,50.8,1148,35.9,32.7,371,11.6,68.9,777,24.3,101,3.2,57.6,515,16.1,1.12,10.6,244,7.6,19.9,458,14.3,6.3,119,3.7,537,16.8,10
Boston College,31,15,16,48.4,2040.0,65.8,55.0,105.1,798,1787,44.7,390,545,71.6,159,488,32.6,49.1,52.4,30.5,59.6,18.2,22.2,1.05,2145,69.2,53.4,1124,36.3,38.5,401,12.9,68.3,723,23.3,111,3.6,58.3,465,15.0,1.18,7.6,155,5.0,19.3,394,12.7,6.1,108,3.5,524,16.9,7
Boston University,35,21,14,60.0,2471.0,70.6,49.0,102.3,833,2033,41.0,562,777,72.3,300,824,36.4,48.4,52.6,38.2,42.2,22.2,35.6,1.02,2528,72.2,49.5,1296,37.0,30.1,397,11.3,69.0,899,25.7,125,3.6,47.8,398,11.4,0.84,10.4,256,7.3,19.3,476,13.6,5.8,114,3.3,744,21.3,20
Bowling Green,30,14,16,46.7,1922.0,64.1,51.5,98.3,695,1564,44.4,369,551,67.0,130,399,32.6,48.6,51.7,35.2,59.8,19.5,20.6,0.98,1889,63.0,51.0,1011,33.7,33.6,327,10.9,68.3,684,22.8,84,2.8,56.5,393,13.1,0.94,10.6,204,6.8,21.9,420,14.0,6.2,99,3.3,494,16.5,10
Bradley,31,16,15,51.6,2028.0,65.4,49.9,103.1,721,1641,43.9,462,621,74.4,187,525,35.6,49.6,54.0,37.8,51.1,22.1,26.8,1.03,2091,67.5,47.6,1021,32.9,28.4,283,9.1,66.8,738,23.8,67,2.2,51.3,370,11.9,0.99,9.6,195,6.3,18.4,373,12.0,4.8,85,2.7,518,16.7,3
Brigham Young,36,30,6,83.3,2575.0,71.5,54.8,116.2,1024,2119,48.3,650,822,79.1,292,700,41.7,55.2,59.6,38.8,48.9,21.7,29.3,1.16,2992,83.1,51.7,1332,37.0,31.2,367,10.2,72.2,965,26.8,124,3.4,55.4,567,15.8,1.35,11.9,307,8.5,16.3,419,11.6,6.1,125,3.5,621,17.2,5
Brown,31,11,20,35.5,2077.0,67.0,46.5,99.8,710,1610,44.1,441,602,73.3,212,611,34.7,50.7,54.7,37.4,48.0,21.3,30.7,1.0,2073,66.9,44.6,990,31.9,22.5,225,7.3,66.7,765,24.7,94,3.0,58.7,417,13.5,1.04,5.8,121,3.9,19.4,402,13.0,6.1,118,3.8,436,14.1,8
