Air Force,29,16,13,55.2,1839.0,63.4,48.0,97.8,606,1479,41.0,387,548,70.6,199,621,32.0,47.7,51.7,37.1,45.3,21.5,33.2,0.98,1798,62.0,55.4,993,34.2,31.3,299,10.3,79.6,694,23.9,67,2.3,60.9,369,12.7,0.91,10.3,189,6.5,22.1,407,14.0,5.4,75,2.6,519,17.9,7
Akron,34,12,22,35.3,2312.0,68.0,50.3,96.9,809,1926,42.0,450,651,69.1,173,575,30.1,46.5,50.1,33.8,56.8,20.1,23.2,0.97,2241,65.9,48.9,1133,33.3,32.9,400,11.8,64.8,733,21.6,126,3.7,52.3,423,12.4,0.89,9.4,218,6.4,20.6,476,14.0,6.2,116,3.4,637,18.7,17
Alabama,33,12,21,36.4,2090.0,63.3,48.2,91.8,666,1711,38.9,422,654,64.5,164,568,28.9,43.7,47.4,38.2,52.3,22.0,25.7,0.92,1918,58.1,49.1,1072,32.5,31.6,373,11.3,66.5,699,21.2,104,3.2,51.5,343,10.4,0.77,8.7,181,5.5,21.2,443,13.4,6.9,118,3.6,539,16.3,9
Alabama A&M,28,21,7,75.0,1941.0,69.3,52.0,101.2,667,1493,44.7,497,756,65.7,133,380,35.0,49.1,53.0,50.6,54.4,25.3,20.3,1.01,1964,70.1,50.9,1018,36.4,32.9,318,11.4,68.9,700,25.0,111,4.0,45.0,300,10.7,0.75,11.7,227,8.1,20.7,402,14.4,7.5,115,4.1,501,17.9,8
Alabama State,31,19,12,61.3,2075.0,66.9,49.9,96.1,709,1627,43.6,429,655,65.5,148,493,30.0,48.1,51.5,40.3,56.2,21.5,22.3,0.96,1995,64.4,50.0,1155,37.3,32.9,345,11.1,67.0,810,26.1,126,4.1,57.5,408,13.2,0.84,11.6,240,7.7,23.4,485,15.6,7.2,124,4.0,579,18.7,14
Albany,34,15,19,44.1,2242.0,65.9,53.0,104.9,878,1910,46.0,353,534,66.1,242,650,37.2,52.3,54.3,28.0,54.1,15.0,30.9,1.05,2351,69.1,48.6,1108,32.6,32.4,371,10.9,64.8,737,21.7,113,3.3,54.2,476,14.0,1.07,8.5,190,5.6,19.8,445,13.1,5.7,107,3.1,623,18.3,12
Alcorn State,33,22,11,66.7,2143.0,69.1,52.4,103.9,746,1735,43.0,487,749,65.0,169,512,33.0,47.9,53.2,43.2,51.8,21.9,22.8,1.04,2226,67.5,54.8,1148,34.8,37.6,403,12.2,72.0,745,22.6,81,2.5,48.3,360,10.9,0.79,11.6,248,7.5,21.3,456,13.8,8.0,133,4.0,555,16.8,10
American University,32,12,20,37.5,2019.0,63.1,50.2,98.6,711,1729,41.1,388,566,68.6,181,583,31.0,46.4,49.8,32.7,53.2,19.5,27.3,0.99,1991,62.2,51.6,1090,34.1,30.4,334,10.4,72.9,756,23.6,117,3.7,51.3,365,11.4,1.03,9.2,186,5.8,17.5,353,11.0,5.2,88,2.8,572,17.9,8
Appalachian State,31,18,13,58.1,2115.0,68.2,52.9,102.8,777,1785,43.5,464,693,67.0,157,502,31.3,47.9,51.4,38.8,57.0,21.3,21.7,1.03,2175,70.2,50.5,1097,35.4,32.0,357,11.5,69.0,740,23.9,94,3.0,48.6,378,12.2,1.05,10.1,213,6.9,17.0,359,11.6,4.6,78,2.5,565,18.2,9
Arizona,35,12,23,34.3,2295.0,65.6,49.5,95.7,799,1969,40.6,428,643,66.6,170,596,28.5,44.9,48.3,32.7,57.3,19.5,23.2,0.96,2196,62.7,49.7,1173,33.5,30.0,380,10.9,69.4,793,22.7,107,3.1,50.4,403,11.5,0.97,8.6,198,5.7,18.1,415,11.9,6.0,108,3.1,667,19.1,21
