Air Force,31,24,7,77.4,1774.0,57.2,50.7,112.2,683,1413,48.3,348,467,74.5,276,684,40.4,58.1,60.9,33.1,40.9,17.5,41.6,1.12,1990,64.2,44.9,763,24.6,25.5,204,6.6,64.3,559,18.0,59,1.9,65.2,445,14.4,1.33,14.0,249,8.0,18.9,335,10.8,4.7,67,2.2,472,15.2,6
Akron,33,23,10,69.7,2184.0,66.2,53.6,110.2,826,1825,45.3,491,682,72.0,264,721,36.6,52.5,56.0,37.4,46.7,20.4,32.9,1.1,2407,72.9,50.5,1116,33.8,34.4,373,11.3,66.6,743,22.5,96,2.9,64.8,535,16.2,1.3,9.2,202,6.1,18.9,412,12.5,5.8,102,3.1,630,19.1,13
Alabama,31,18,13,58.1,2024.0,65.3,55.1,107.6,758,1662,45.6,488,689,70.8,174,505,34.5,50.8,54.7,41.5,53.6,22.4,24.0,1.08,2178,70.3,52.5,1135,36.6,38.4,389,12.5,66.6,746,24.1,86,2.8,50.0,379,12.2,0.9,9.6,195,6.3,20.8,421,13.6,8.3,152,4.9,433,14.0,6
Alabama A&M,26,13,13,50.0,1987.0,76.4,50.5,96.5,669,1606,41.7,420,654,64.2,159,508,31.3,46.6,50.0,40.7,53.2,21.9,24.9,0.96,1917,73.7,48.5,1019,39.2,33.2,355,13.7,63.8,664,25.5,120,4.6,48.4,324,12.5,0.77,11.6,231,8.9,21.3,423,16.3,9.8,157,6.0,499,19.2,5
Alabama State,30,12,18,40.0,2103.0,70.1,50.1,94.4,689,1686,40.9,433,690,62.8,174,559,31.1,46.0,49.3,40.9,51.9,21.8,26.3,0.94,1985,66.2,50.6,1069,35.6,35.0,395,13.2,66.3,674,22.5,94,3.1,44.7,308,10.3,0.65,8.5,179,6.0,22.6,476,15.9,5.1,83,2.8,640,21.3,29
Albany,32,21,11,65.6,2086.0,65.2,51.7,105.2,743,1660,44.8,485,682,71.1,223,589,37.9,51.5,55.3,41.1,47.4,22.1,30.5,1.05,2194,68.6,51.2,1075,33.6,34.2,349,10.9,68.2,726,22.7,125,3.9,54.2,403,12.6,0.89,10.0,209,6.5,21.6,451,14.1,4.8,81,2.5,606,18.9,14
Alcorn State,28,8,20,28.6,2016.0,72.0,47.1,91.7,652,1544,42.2,374,570,65.6,170,526,32.3,47.7,50.9,36.9,52.2,20.2,27.6,0.92,1848,66.0,49.0,998,35.6,31.5,317,11.3,66.5,681,24.3,95,3.4,51.7,337,12.0,0.66,9.7,195,7.0,25.4,512,18.3,5.3,85,3.0,613,21.9,28
American University,29,12,17,41.4,1920.0,66.2,50.4,96.4,655,1573,41.6,375,543,69.1,165,486,34.0,46.9,50.5,34.5,53.0,20.3,26.8,0.96,1850,63.8,51.2,1007,34.7,36.1,366,12.6,66.4,641,22.1,108,3.7,57.9,379,13.1,0.84,9.9,190,6.6,23.5,452,15.6,5.7,89,3.1,548,18.9,10
Appalachian State,30,14,16,46.7,2041.0,68.0,51.1,102.9,731,1703,42.9,389,550,70.7,249,703,35.4,50.2,53.5,32.3,45.9,18.5,35.6,1.03,2100,70.0,48.6,1032,34.4,34.6,371,12.4,62.6,661,22.0,108,3.6,58.4,427,14.2,0.94,11.0,224,7.5,22.3,455,15.2,6.6,112,3.7,567,18.9,12
Arizona,33,20,13,60.6,2333.0,70.7,55.1,104.3,909,2037,44.6,473,667,70.9,142,445,31.9,48.1,51.7,32.7,63.0,19.4,17.5,1.04,2433,73.7,50.8,1140,34.5,37.1,453,13.7,64.4,687,20.8,113,3.4,54.1,492,14.9,1.13,13.8,322,9.8,18.7,437,13.2,6.9,125,3.8,549,16.6,9
Arizona State,28,11,17,39.3,1906.0,68.1,49.7,98.5,655,1520,43.1,410,568,72.2,158,418,37.8,48.3,52.5,37.4,52.9,21.8,25.2,0.99,1878,67.1,50.5,927,33.1,32.9,310,11.1,68.0,617,22.0,92,3.3,61.5,403,14.4,0.95,9.4,180,6.4,22.1,422,15.1,6.0,90,3.2,562,20.1,24
Arkansas,32,22,10,68.8,2204.0,68.9,54.3,107.0,841,1837,45.8,498,720,69.2,179,533,33.6,50.7,54.1,39.2,56.1,21.1,22.8,1.07,2359,73.7,49.9,1118,34.9,35.7,390,12.2,64.1,728,22.8,104,3.2,58.9,495,15.5,1.16,12.1,266,8.3,19.4,428,13.4,10.7,194,6.1,540,16.9,9
Arkansas State,30,12,18,40.0,2127.0,70.9,52.0,102.9,789,1690,46.7,439,667,65.8,172,481,35.8,51.8,54.5,39.5,56.4,20.1,23.6,1.03,2189,73.0,49.2,1045,34.8,32.3,330,11.0,66.0,715,23.8,114,3.8,51.5,406,13.5,0.88,9.3,198,6.6,21.7,461,15.4,4.4,78,2.6,556,18.5,11
Arkansas-Little Rock,29,14,15,48.3,1932.0,66.6,51.4,96.3,637,1541,41.3,463,678,68.3,124,391,31.7,45.4,49.9,44.0,55.1,24.9,20.0,0.96,1861,64.2,53.7,1003,34.6,38.2,386,13.3,69.2,617,21.3,84,2.9,64.8,413,14.2,0.92,11.6,224,7.7,23.2,448,15.4,5.1,76,2.6,520,17.9,14
Arkansas-Pine Bluff,29,13,16,44.8,2054.0,70.8,45.8,89.0,666,1634,40.8,351,516,68.0,146,458,31.9,45.2,48.7,31.6,56.9,19.2,23.9,0.89,1829,63.1,46.7,1036,35.7,28.3,298,10.3,65.0,738,25.4,118,4.1,49.4,329,11.3,0.7,11.0,225,7.8,23.0,472,16.3,7.6,128,4.4,554,19.1,11
Army,27,5,22,18.5,1718.0,63.6,43.1,86.8,529,1321,40.0,285,415,68.7,148,435,34.0,45.6,49.1,31.4,51.1,19.1,29.8,0.87,1491,55.2,47.0,807,29.9,26.3,224,8.3,67.6,583,21.6,94,3.5,56.1,297,11.0,0.7,8.9,153,5.7,24.7,425,15.7,3.3,44,1.6,539,20.0,10
Auburn,28,12,16,42.9,1860.0,66.4,51.2,98.7,654,1509,43.3,334,529,63.1,194,545,35.6,49.8,52.2,35.1,50.1,18.2,31.7,0.99,1836,65.6,49.3,924,33.0,36.2,347,12.4,62.4,577,20.6,90,3.2,57.8,378,13.5,0.85,12.2,226,8.1,24.0,446,15.9,8.0,118,4.2,550,19.6,16
Austin Peay,31,17,14,54.8,2137.0,68.9,51.3,104.3,765,1680,45.5,528,707,74.7,170,508,33.5,50.6,55.3,42.1,53.4,23.7,22.9,1.04,2228,71.9,48.4,1018,32.8,32.1,326,10.5,64.7,692,22.3,103,3.3,56.9,435,14.0,0.97,10.2,217,7.0,20.9,447,14.4,5.3,93,3.0,576,18.6,9
Ball State,28,10,18,35.7,1819.0,65.0,51.0,97.8,632,1483,42.6,368,556,66.2,147,430,34.2,47.6,50.9,37.5,54.5,20.7,24.8,0.98,1779,63.5,52.0,926,33.1,33.8,327,11.7,70.2,599,21.4,83,3.0,51.9,328,11.7,0.83,11.3,206,7.4,21.8,397,14.2,7.7,100,3.6,629,22.5,22
Baylor,17,4,13,23.5,1143.0,67.2,45.4,94.0,367,923,39.8,206,298,69.1,134,360,37.2,47.0,50.4,32.3,43.4,19.2,37.4,0.94,1074,63.2,44.9,542,31.9,27.8,170,10.0,62.0,372,21.9,49,2.9,50.7,186,10.9,0.72,9.2,105,6.2,22.7,259,15.2,7.5,72,4.2,340,20.0,19
