Abilene Christian,31,20,11,64.5,2123.0,68.5,51.4,104.9,759,1640,46.3,529,747,70.8,181,524,34.5,51.8,55.8,45.5,51.9,23.7,24.4,1.05,2228,71.9,49.9,1004,32.4,30.3,305,9.8,69.5,699,22.5,86,2.8,53.6,407,13.1,0.94,9.7,205,6.6,20.3,431,13.9,7.7,128,4.1,576,18.6,8
Air Force,30,18,12,60.0,1978.0,65.9,50.5,104.9,690,1595,43.3,482,687,70.2,212,647,32.8,49.9,54.0,43.1,46.1,23.2,30.7,1.05,2074,69.1,51.4,1016,33.9,29.4,295,9.8,73.3,721,24.0,61,2.0,58.6,404,13.5,1.14,10.5,208,6.9,17.9,354,11.8,8.2,128,4.3,559,18.6,7
Akron,31,11,20,35.5,2059.0,66.4,50.2,99.0,725,1699,42.7,440,617,71.3,146,454,32.2,47.0,51.2,36.3,56.8,21.6,21.5,0.99,2038,65.7,48.4,1037,33.5,31.9,332,10.7,64.9,705,22.7,111,3.6,46.3,336,10.8,0.83,9.9,204,6.6,19.8,407,13.1,5.6,95,3.1,596,19.2,14
Alabama,31,18,13,58.1,2027.0,65.4,51.6,102.7,700,1682,41.6,516,689,74.9,166,553,30.0,46.6,51.8,41.0,51.3,24.8,23.9,1.03,2082,67.2,52.0,1079,34.8,34.5,374,12.1,69.5,705,22.7,95,3.1,51.7,362,11.7,0.91,8.5,173,5.6,19.7,399,12.9,7.7,125,4.0,592,19.1,16
Alabama A&M,28,15,13,53.6,1888.0,67.4,51.2,100.9,607,1480,41.0,547,787,69.5,144,425,33.9,45.9,51.4,53.2,48.6,28.7,22.7,1.01,1905,68.0,53.6,1069,38.2,34.3,347,12.4,72.9,722,25.8,100,3.6,44.5,270,9.6,0.7,9.4,178,6.4,20.3,383,13.7,5.8,86,3.1,552,19.7,10
Alabama State,29,11,18,37.9,2011.0,69.3,51.9,100.9,725,1622,44.7,432,623,69.3,148,474,31.2,49.3,52.9,38.4,56.8,21.3,21.9,1.01,2030,70.0,49.4,1066,36.8,34.0,340,11.7,64.8,726,25.0,123,4.2,47.2,342,11.8,0.79,8.7,175,6.0,21.5,432,14.9,4.9,84,2.9,586,20.2,15
Albany,31,14,17,45.2,1976.0,63.7,49.3,100.4,706,1683,41.9,352,489,72.0,219,613,35.7,48.5,51.8,29.1,49.1,17.8,33.1,1.0,1983,64.0,48.2,974,31.4,29.0,306,9.9,67.3,668,21.5,121,3.9,54.7,386,12.5,1.04,9.2,182,5.9,18.7,370,11.9,5.9,93,3.0,596,19.2,16
Alcorn State,30,18,12,60.0,1989.0,66.3,51.2,102.4,700,1632,42.9,459,648,70.8,178,515,34.6,48.3,52.5,39.7,51.3,22.5,26.2,1.02,2037,67.9,52.5,1029,34.3,33.8,327,10.9,71.2,702,23.4,62,2.1,52.6,368,12.3,0.98,8.1,161,5.4,18.9,375,12.5,4.9,78,2.6,526,17.5,9
American University,32,12,20,37.5,1953.0,61.0,48.9,96.1,645,1569,41.1,435,646,67.3,151,482,31.3,45.9,50.0,41.2,52.7,23.2,24.1,0.96,1876,58.6,51.5,931,29.1,29.9,313,9.8,73.0,618,19.3,90,2.8,50.1,323,10.1,0.83,11.5,225,7.0,19.9,389,12.2,5.2,78,2.4,565,17.7,8
Appalachian State,30,21,9,70.0,2038.0,67.9,52.5,105.6,763,1644,46.4,447,670,66.7,179,486,36.8,51.9,54.8,40.8,54.3,20.8,25.0,1.06,2152,71.7,48.1,1064,35.5,30.2,303,10.1,66.0,761,25.4,81,2.7,50.9,388,12.9,1.01,8.3,170,5.7,18.9,386,12.9,7.5,130,4.3,601,20.0,16
