Rank,Team,2005,Last 3,Last 1,Home,Away,2004
1,Gonzaga,1.12,1.142,1.017,1.143,1.099,1.137
2,Florida,1.115,1.115,1.113,1.157,1.077,1.099
3,Duke,1.112,0.922,0.742,1.116,1.11,1.084
4,Boston Col,1.11,1.053,0.852,1.129,1.097,1.064
5,Marist,1.108,1.129,1.286,1.118,1.101,1.006
6,Notre Dame,1.107,1.078,0.987,1.126,1.082,1.025
7,Texas,1.104,1.015,0.806,1.191,1.026,1.075
8,Connecticut,1.103,1.119,1.176,1.13,1.08,1.057
9,Butler,1.099,0.967,0.909,1.141,1.073,1.06
10,Air Force,1.098,1.07,1.148,1.18,1.025,1.073
11,Montana,1.096,1.096,0.892,1.147,1.06,0.974
12,Washington,1.093,1.025,0.999,1.117,1.058,1.136
13,Tennessee,1.092,1.042,1.098,1.143,1.039,1.023
14,Samford,1.09,1.121,0.981,1.211,1.016,1.083
15,Pacific,1.086,1.15,1.039,1.081,1.09,1.101
16,Central Conn,1.083,1.096,0.799,1.14,1.023,1.027
17,Georgetown,1.083,1.034,0.923,1.098,1.074,1.033
18,Ohio State,1.083,0.935,0.867,1.119,1.042,1.039
19,Belmont,1.082,0.928,0.623,1.171,1.026,0.988
20,UC Irvine,1.081,1.12,1.122,1.069,1.09,1.007
21,,1.081,0.952,1.116,1.134,1.04,1.018
22,Utah State,1.081,0.977,0.914,1.112,1.051,1.136
23,W Virginia,1.079,1.048,1.115,1.112,1.052,1.071
24,Villanova,1.078,0.992,0.901,1.161,1.025,1.066
25,W Kentucky,1.078,0.915,0.792,1.135,1.029,1.089
26,Iona,1.078,1.178,0.844,1.099,1.066,0.992
27,Illinois,1.075,1.056,0.923,1.133,1.02,1.152
28,Michigan St,1.075,0.916,0.979,1.166,1.009,1.134
29,Davidson,1.075,1.016,0.903,1.186,0.998,1.024
30,San Diego St,1.074,0.982,1.155,1.109,1.046,0.985
31,N Illinois,1.073,1.16,1.143,1.094,1.056,1.033
32,N Carolina,1.073,1.03,0.903,1.086,1.056,1.138
33,NC State,1.071,0.925,0.796,1.131,0.992,1.08
34,Xavier,1.071,1.092,1.107,1.098,1.03,1.068
35,Vanderbilt,1.069,1.127,1.036,1.109,1.009,1.042
36,Memphis,1.068,0.982,0.716,1.04,1.101,1.023
37,Geo Wshgtn,1.067,0.946,0.844,1.1,1.034,1.061
38,S Carolina,1.066,1.166,1.148,1.082,1.053,1.026
39,Akron,1.066,1.045,0.924,1.119,1.034,1.026
40,Jksnville St,1.065,1.113,0.884,1.098,1.034,0.958
41,IUPUI,1.063,0.953,0.853,1.135,1.022,1.079
42,Pittsburgh,1.062,1.055,0.954,1.094,1.025,1.082
43,Winthrop,1.06,0.976,0.97,1.114,1.007,1.009
44,Michigan,1.059,1.031,0.967,1.132,0.961,0.955
45,Murray St,1.056,1.054,0.973,1.068,1.046,1.069
46,Oral Roberts,1.056,1.154,1.113,1.088,1.031,1.068
47,Lg Beach St,1.056,1.165,1.091,1.02,1.08,0.903
48,Oklahoma,1.055,0.921,0.98,1.109,0.989,1.087
49,S Alabama,1.055,1.048,0.732,1.091,1.027,0.911
50,Valparaiso,1.054,0.977,0.828,1.154,0.991,1.014
51,CS Fullerton,1.054,1.125,1.198,1.063,1.048,1.032
52,Kentucky,1.053,1.065,1.079,1.06,1.048,1.062
53,Colorado,1.053,0.881,0.933,1.126,0.956,0.998
54,Alabama,1.052,1.078,1.053,1.087,1,1.12
55,UCLA,1.051,0.862,0.869,1.095,1.015,1.011
56,Coastal Car,1.051,1.089,0.941,1.118,1.003,0.972
57,Geo Mason,1.05,1.039,0.909,1.074,1.036,1.059
58,Manhattan,1.05,1.043,0.932,1.091,1.016,1.024
59,Florida St,1.049,0.956,1,1.086,1.001,0.965
60,Marquette,1.049,1.124,1.199,1.072,1.028,1.036
61,Arkansas,1.048,1.005,0.917,1.102,0.989,1.032
62,Hofstra,1.047,0.952,0.751,1.052,1.044,1.032
63,Ohio,1.047,1.102,0.873,1.14,0.964,1.052
64,Fla Atlantic,1.045,1.027,0.716,1.094,1.007,0.982
65,Providence,1.045,1.003,1.002,1.081,0.991,1.032
66,Wisconsin,1.045,0.913,1.076,1.071,1.018,1.042
67,Loyola-MD,1.044,1.031,1.201,1.025,1.059,0.9
68,Nevada,1.044,1.087,1.157,1.041,1.048,0.99
69,Missouri St,1.044,0.904,0.791,1.082,1.003,1.037
70,Kent State,1.043,1.059,1.022,1.1,1.001,1.018
71,WI-Milwkee,1.043,1.085,0.908,1.077,1.013,1.057
72,Wichita St,1.042,1.075,0.859,1.042,1.043,1.077
73,Loyola-Chi,1.042,1.031,0.892,1.108,0.976,0.964
74,BYU,1.042,0.987,0.823,1.079,0.997,0.944
75,Oregon,1.041,1.126,1.15,1.042,1.04,1.006
76,Indiana,1.041,1.042,1.101,1.081,1.011,0.991
77,E Kentucky,1.04,1.037,0.887,1.082,1.006,1.024
78,Niagara,1.04,1.04,0.78,1.069,1.018,1.133
79,TN State,1.039,1.181,1.115,1.052,1.03,1.009
80,Kansas,1.039,1.089,0.972,1.075,0.997,1.071
81,San Diego,1.037,1.089,1.199,1.046,1.029,1.029
82,TX A&M-CC,1.037,1.042,1.139,1.132,0.964,1.027
83,Louisville,1.036,1.039,1.029,1.083,0.952,1.129
84,Northeastrn,1.036,0.966,0.829,1.093,1.001,1.01
85,Miami (FL),1.035,0.961,0.99,1.055,1.015,1.025
86,Sac State,1.035,1.014,1.082,1.071,1.015,0.922
87,E Tenn St,1.035,0.886,0.876,1.042,1.029,0.98
88,California,1.035,1.024,0.93,1.068,0.997,0.952
89,Iowa State,1.034,1.013,0.957,1.013,1.061,0.97
90,NW State,1.033,1.014,0.772,1.086,1.003,1.004
91,Wake Forest,1.033,1.008,0.89,1.068,0.995,1.144
92,Fairfield,1.033,1.073,1.095,1.05,1.02,0.986
93,E Washingtn,1.031,1.182,0.958,1.075,1.006,0.899
94,Lipscomb,1.03,1.039,1.005,1.117,0.976,0.966
95,Cincinnati,1.03,1.077,1.025,1.078,0.955,1.063
96,VCU,1.03,1.077,1.086,1.065,0.987,1.016
97,Furman,1.03,0.873,0.768,1.1,0.976,0.992
98,Idaho State,1.029,1.108,1.27,1.14,0.939,0.895
99,Old Dominion,1.029,0.862,0.681,1.095,0.977,1.027
100,Albany,1.029,1.092,0.929,1.05,1.016,1.001
101,St Josephs,1.028,1.017,1.016,1.028,1.029,1.003
102,Siena,1.028,1.068,0.944,1.027,1.029,0.9
103,Campbell,1.028,1.014,0.994,1.056,1.003,0.868
104,N Arizona,1.027,1.058,0.937,1.084,0.982,0.994
105,St Peters,1.027,1.065,0.925,1.062,1.005,1.029
106,UAB,1.027,0.914,0.982,1.077,0.979,1.038
107,Montana St,1.027,0.958,1.016,1.07,0.981,0.931
108,Austin Peay,1.024,1.103,1.001,1.098,0.971,0.971
109,LSU,1.024,0.837,0.701,1.062,0.989,1.072
110,N Iowa,1.023,0.911,0.913,1.075,0.979,1.065
111,Temple,1.022,0.992,1.072,1.074,0.966,1.022
112,Troy,1.022,1.129,0.801,0.983,1.046,1.015
113,Ste F Austin,1.022,1.067,1.02,1.058,0.993,0.954
114,Lamar,1.022,0.944,0.812,1.089,0.982,0.998
115,Texas A&M,1.021,1,0.853,1.018,1.025,1.071
116,Colorado St,1.02,0.931,0.844,1.088,0.966,1.003
117,N Dakota St,1.02,1.051,1.034,1.119,0.961,0.853
118,Oakland,1.02,1.059,0.964,1.04,1.006,1.042
119,Oklahoma St,1.019,0.93,0.89,1.103,0.93,1.131
120,Radford,1.019,1.101,1.166,1.118,0.936,0.963
121,La Salle,1.018,1.033,0.991,1.047,0.995,0.938
122,Buffalo,1.018,1.013,0.972,1.106,0.948,1.019
123,Arizona,1.018,1.139,1.156,1.029,1.01,1.097
124,Penn State,1.018,0.978,1.003,1.076,0.924,0.931
125,UMKC,1.018,1.011,0.877,1.066,0.98,1.057
126,Rob Morris,1.017,0.939,0.718,1.112,0.952,1.013
127,Bucknell,1.017,1.009,0.874,1.092,0.957,1.005
128,Fordham,1.016,0.943,0.988,1.09,0.971,0.938
129,Canisius,1.015,0.984,0.963,1.03,1.003,0.987
130,U Penn,1.015,0.94,0.893,1.05,0.969,0.979
131,VA Tech,1.015,1.019,0.923,1.034,0.99,0.973
132,Rutgers,1.014,0.954,0.917,1.054,0.975,0.98
133,Utah Val St,1.014,1.121,1.185,1.075,0.965,1.011
134,Charlotte,1.014,0.946,1.004,1.022,1.006,1.056
135,Middle Tenn,1.014,1.089,0.896,1.068,0.971,1.014
136,TN Martin,1.013,0.843,0.723,1.113,0.941,0.933
137,NC-Wilmgton,1.013,1.158,1.206,1.015,1.011,0.992
138,New Mexico,1.011,0.927,0.989,1.053,0.956,1.099
139,Maryland,1.01,1.009,0.994,1.088,0.916,1.017
140,St Marys,1.01,1.031,0.93,1.073,0.94,1.007
141,Hawaii,1.008,0.906,1.003,1.038,0.961,1.01
142,DePaul,1.008,1.239,0.981,1.026,0.987,1.052
143,SE Louisiana,1.007,1.063,0.941,1.01,1.004,0.953
144,Syracuse,1.005,0.995,0.918,1.006,1.005,1.081
145,IL-Chicago,1.004,1.06,1.03,1.031,0.985,1.015
146,Toledo,1.004,1.107,1.012,1.049,0.956,1.009
147,S Utah,1.003,1.094,0.952,1.11,0.947,0.995
148,Youngs St,1.003,1.037,0.942,1.025,0.988,0.881
149,Gard-Webb,1.003,0.904,0.822,1.001,1.003,0.991
150,Bradley,1.002,0.977,0.869,1.102,0.928,0.98
151,Fresno St,1.002,1.038,0.829,1.06,0.942,0.986
152,UCSB,1,1.009,0.805,1.058,0.959,0.94
153,Miami (OH),1,0.993,0.954,0.989,1.009,1.02
154,Portland St,1,1.135,1.145,1.029,0.985,1.002
155,Kansas St,1,0.917,0.943,1.011,0.981,1.022
156,Clemson,0.998,0.95,0.957,1.043,0.946,0.965
157,F Dickinson,0.998,0.954,1.13,0.969,1.018,1.019
158,Arkansas St,0.997,1.007,1.167,1.028,0.976,1.024
159,Creighton,0.997,0.907,0.941,1.063,0.91,1.074
160,Mercer,0.997,0.998,0.94,1.001,0.994,1.033
161,Detroit,0.996,1.182,0.901,1.128,0.892,0.987
162,Cornell,0.995,1.009,0.995,1.009,0.986,0.988
163,UNLV,0.995,0.98,0.85,1.019,0.967,1.004
164,Col Charlestn,0.994,0.974,0.877,0.985,1.003,0.994
165,High Point,0.994,1.024,0.838,1.029,0.977,0.969
166,Chicago St,0.994,0.993,1.06,1.131,0.945,0.956
167,Utah,0.993,1.007,0.784,1.038,0.95,1.083
168,GA Southern,0.992,0.925,0.74,1.049,0.955,0.989
169,TX El Paso,0.992,1.102,1.004,1.03,0.953,1.091
170,TN Tech,0.992,0.997,0.98,1.027,0.965,1.003
171,Drake,0.992,0.883,0.866,0.977,1.006,0.996
172,TX-Arlington,0.992,1.033,1.034,1.051,0.966,0.938
173,WI-Grn Bay,0.991,1.067,0.893,1.041,0.947,1.003
174,Sam Hous St,0.99,1.104,1.15,1.022,0.965,0.949
175,Hartford,0.99,1.066,0.971,0.987,0.991,0.876
176,Stanford,0.989,0.961,0.959,1.033,0.945,0.986
177,N Mex State,0.987,0.929,0.87,1.002,0.975,0.926
178,GA Tech,0.986,1.021,0.843,0.979,0.993,1.011
179,App State,0.984,1.034,1.081,0.971,0.992,0.992
180,Towson,0.984,1.025,1.017,1.024,0.951,0.925
181,San Fransco,0.984,1.001,0.918,1.051,0.918,0.963
182,Virginia,0.984,0.878,0.725,1.095,0.886,0.989
183,North Texas,0.983,0.994,0.791,1.034,0.933,0.96
184,Maryland BC,0.982,1.07,1.024,1.048,0.936,0.91
185,Rider,0.981,0.897,0.762,1.015,0.954,1.057
186,Seton Hall,0.981,0.872,0.879,1.024,0.924,0.94
187,Wright State,0.981,0.955,0.931,1.05,0.925,1.011
188,Kennesaw St,0.981,0.901,0.717,1.005,0.964,--
189,Delaware St,0.98,0.974,0.966,1.052,0.951,0.992
190,Boise State,0.978,0.999,0.854,1.021,0.937,0.992
191,Houston,0.977,0.848,0.821,0.969,0.985,0.99
192,Rhode Island,0.977,0.989,0.744,1.025,0.917,0.903
193,Charl South,0.976,1.185,1.042,0.983,0.973,0.885
194,Chattanooga,0.975,0.931,0.771,1.034,0.931,0.982
195,Stetson,0.975,0.995,0.917,0.994,0.963,0.95
196,Portland,0.974,1.038,0.956,1.04,0.92,0.992
197,Quinnipiac,0.972,0.969,0.925,1.018,0.936,0.997
198,Dayton,0.972,0.939,0.838,1.019,0.92,0.996
199,St Bonavent,0.972,1.022,1.012,1.032,0.916,0.879
200,USC,0.972,0.952,1.015,1.007,0.925,0.998
201,Wagner,0.971,0.996,1.128,1.002,0.945,0.938
202,Holy Cross,0.971,1.067,0.933,0.99,0.956,1.016
203,Iowa,0.97,0.932,0.977,1.007,0.932,1.03
204,Texas Tech,0.97,1.041,1.134,1.042,0.898,1.055
205,W Carolina,0.97,0.956,0.98,1.113,0.887,0.883
206,Weber State,0.97,1.106,1.028,1.05,0.898,0.997
207,LIU-Brooklyn,0.969,0.98,0.895,1.007,0.943,0.937
208,Denver,0.969,0.957,1.022,1.063,0.91,1.038
209,N Florida,0.968,0.973,0.852,1.064,0.898,1.093
210,TX-San Ant,0.968,0.94,0.821,0.982,0.955,0.974
211,Georgia,0.967,0.876,0.884,1.013,0.926,0.879
212,Santa Clara,0.966,0.971,0.996,1.004,0.936,1.016
213,Miss Val St,0.966,1.386,0.785,0.973,0.962,0.989
214,Minnesota,0.966,0.967,0.915,1.003,0.915,0.985
215,Cal Poly,0.966,0.912,1.023,0.987,0.95,0.928
216,Nebraska,0.965,0.96,0.894,1.023,0.886,0.995
217,Arizona St,0.965,1.013,0.977,1.019,0.878,1.05
218,Missouri,0.965,0.994,1.034,1.023,0.888,0.965
219,Auburn,0.964,1.027,1.223,0.992,0.926,0.994
220,E Michigan,0.963,1,0.849,0.986,0.943,0.995
221,Wofford,0.963,0.996,1.015,1.021,0.929,0.983
222,NC-Grnsboro,0.961,1.03,0.861,1.023,0.929,0.938
223,Sacred Hrt,0.961,1.02,1.047,0.99,0.935,0.9
