Rank,Team,2003,Last 3,Last 1,Home,Away,2002
1,Temple,7.7,5.7,7,9.3,6.3,7.2
2,VA Tech,7.6,5.3,0,9.4,5.6,0.8
3,Miss Val St,7.1,17,22,11,4.1,7.7
4,Texas,7.1,-2.7,-6,10.7,3.8,4.2
5,Troy,6.9,12.3,-3,7.9,6.2,5.5
6,GA Southern,6.7,9,7,7,6.5,0.7
7,Holy Cross,6.5,9,17,7.6,5.7,5.3
8,Ste F Austin,6.5,6.3,-1,9.9,3.5,1.9
9,W Michigan,6.5,12.3,14,7.5,5.7,7.2
10,Drake,6.1,8.7,11,10.2,2.9,-3.8
11,IL-Chicago,5.9,5.3,13,5.6,6.1,4.5
12,Oklahoma,5.8,2,4,9.2,1.1,4.4
13,Boston U,5.7,0,-1,6.9,4.7,0.3
14,N Carolina,5.3,9.3,4,5.5,5.1,-0.5
15,Wisconsin,5.3,-3,-13,8.9,2.1,4.5
16,S Illinois,5.2,4.7,0,6.6,3.9,3.6
17,UAB,5,2.7,7,8.4,1.6,4.9
18,Cincinnati,5,-5.7,2,8.3,0.6,4.6
19,Oregon St,4.7,7,7,6.1,2.8,-0.3
20,Maryland,4.6,2,-6,5.8,2.9,3.5
21,Memphis,4.5,7,1,7.3,1.8,3
22,San Diego St,4.5,2.3,4,6.2,2.5,1.1
23,Manhattan,4.5,4.3,3,5.8,3.1,2.8
24,Auburn,4.2,5,2,6.6,-0.2,-0.5
25,Northeastrn,4.1,7,7,7.2,2.2,4
26,SE Louisiana,4,7.3,10,3,4.8,3.2
27,Miss State,3.9,2.3,14,3.8,4.1,2.4
28,Oakland,3.9,10,11,8.5,1,4.1
29,Central Conn,3.9,2.7,2,3.4,4.4,-1.5
30,Wake Forest,3.9,0.3,-4,4.9,3,0.5
31,Siena,3.8,2.7,-1,7.4,-0.4,1.7
32,Buffalo,3.8,3,-6,3.1,4.4,0.7
33,Idaho,3.7,6.7,12,7.1,1.3,-1.1
34,CS Fullerton,3.7,1,-3,6.2,1.3,3.4
35,Texas A&M,3.6,5.7,23,7.9,-0.6,-1.7
36,Miami (OH),3.6,7,11,4.7,2.7,0.4
37,Louisville,3.4,2.7,7,5.3,1.2,4.6
38,App State,3.4,4.3,-5,5.7,1.9,2.5
39,F Dickinson,3.3,4.3,0,4.1,2.7,-2
40,Fla Atlantic,3.3,6.7,-1,8.8,-1.4,3.2
41,Illinois,3.2,6.3,11,5.3,1.7,0.5
42,Georgetown,3.2,-4.3,-2,5,0.8,3.3
43,UMKC,3.2,7,6,6.9,-1.4,-0.5
44,Wash State,3.1,6,2,3.2,3.1,-0.8
45,Pepperdine,3.1,1,-2,7.6,0.3,2.1
46,California,3.1,-4,4,4.6,1.1,1.4
47,Nevada,3.1,-0.3,7,4.6,2,3.2
48,Winthrop,3.1,8.7,7,3.7,2.6,0.7
49,S Carolina,3,-6.3,-13,6,0.1,2.8
50,Duke,3,-1,12,3.1,3,5
51,NC-Wilmgton,3,-0.7,-3,7.3,0.1,3.7
52,Hofstra,2.9,5,15,4.3,2.1,-3.3
53,Kent State,2.9,-7,4,5.6,0.5,1.5
54,Lamar,2.9,0,6,4.6,1.3,-5.5
55,TX-Pan Am,2.9,-5.7,-7,3.7,2.3,1.2
56,Georgia,2.9,4.3,11,2.6,3.2,1.3
57,Cal St Nrdge,2.9,4,11,4.9,1.4,0.4
58,AR Lit Rock,2.8,0,-8,6.1,0,-1.9
59,Miami (FL),2.7,6.3,7,4.2,-0.7,3.2
60,Sac State,2.7,8.7,17,7.2,-1.1,-0.7
61,Butler,2.7,-3,-5,3.6,1.5,-0.5
62,Kentucky,2.7,5.7,0,5,0.9,4.4
63,Charlotte,2.7,4,2,7.2,-0.8,5.4
64,Arkansas,2.6,-1.3,-3,5,-1,0.6
65,Detroit,2.6,8,0,4.1,1.2,2.9
66,Weber State,2.6,-9,-4,4.8,0.9,2.3
67,USC,2.6,0.3,15,4.5,0.4,5.4
68,Boise State,2.6,0.3,1,3.4,1.8,2.9
69,Jackson St,2.6,1,9,2,2.8,0.2
70,W Kentucky,2.5,6.7,-4,3.4,1.7,1.5
71,Murray St,2.4,-5.7,-10,5.4,0,2.8
72,Cornell,2.3,3,4,3.5,1.4,-3.6
73,Southern,2.3,1.3,4,4.6,0.7,-3.1
74,Xavier,2.2,-1.3,4,6.5,-1,2.4
75,Rhode Island,2.2,2,4,4,0.6,4.8
76,Minnesota,2.2,2,-11,5.5,-2.1,-0.5
77,TX El Paso,2.2,-4.7,-7,6,-1.5,-7.9
78,TN State,2.2,6.7,-3,2.2,2.2,-4.9
79,Texas Tech,2.2,1.3,3,5.9,-1.5,5.1
80,Geo Wshgtn,2.1,6,19,3.5,0.9,0.4
81,S Car State,2.1,6.3,13,5.1,0.4,-3
82,Central FL,2,-3.7,-3,4.2,0.3,2.8
83,Fairfield,2,1.3,3,3.3,1.1,-1.9
84,E Tenn St,2,2.3,17,2.1,1.9,-0.1
85,Quinnipiac,1.9,-3.7,3,2.3,1.6,0.4
86,Radford,1.9,-3.7,-10,2.8,1.1,0
87,Stetson,1.9,-1,0,2.2,1.6,6.5
88,Vanderbilt,1.9,-6,1,3.2,0.5,-1.8
89,Geo Mason,1.9,9,10,5.5,-1.2,3
90,Vermont,1.9,0.7,1,2.7,1.2,0.9
91,Air Force,1.8,-3,-15,2.2,1.5,-2.6
92,St Josephs,1.8,0.7,1,2.1,1.6,0.6
93,BYU,1.6,2.7,8,4.5,-0.6,1.2
94,Coppin State,1.6,4,-3,1.6,1.6,-1.1
95,Stanford,1.5,-0.7,9,4.2,-0.8,0.8
96,St Peters,1.5,-4.7,-3,0.6,2.2,3.2
97,Missouri St,1.5,1,4,2.5,0.9,5.6
98,UCSB,1.5,-0.7,-8,1.5,1.5,0.3
99,Mt St Marys,1.4,0.3,3,1.6,1.4,1.5
100,S Alabama,1.4,4.7,-1,2.1,0.9,3
101,Indiana,1.4,4.3,2,0.8,2,-1.2
102,Saint Louis,1.4,3.3,0,5.1,-2.4,0.3
103,Santa Clara,1.4,0.7,-3,1.7,0.8,-1.2
104,Bradley,1.3,-1.7,10,0.7,1.9,2.6
105,San Fransco,1.3,3,3,7.4,-3.4,-1.1
106,Oklahoma St,1.3,-2.7,1,4.9,-1.9,1.3
107,Creighton,1.2,1.3,1,3.9,-2.6,3.9
108,Elon,1.1,9.7,8,1.8,0.6,0.2
109,St Bonavent,1.1,-1.3,2,4,-1.3,5.2
110,TX A&M-CC,1.1,0,-6,1.7,0.8,0.7
111,Ohio State,1.1,-1,-8,3.8,-2.4,0.8
112,Missouri,1.1,-4.7,-1,3.3,-1.1,0.5
113,Richmond,1.1,2,-5,3.2,-0.7,2.8
114,Old Dominion,1.1,-0.3,11,3.9,-1.9,6.3
115,Maryland BC,1,0,4,4.3,-1.1,-2.4
116,New Orleans,1,3.3,4,4.7,-1.2,-1.2
117,Washington,0.9,1,-1,2.3,-0.2,1
118,Purdue,0.9,1.3,2,3.7,-1.7,2
119,IUPUI,0.8,-1.7,-6,3.2,-0.5,1.4
120,LA Lafayette,0.8,1,-1,1.9,0.2,1.2
121,Marquette,0.8,-0.7,3,2.9,-1.6,-1.7
122,American,0.7,1.7,4,3.1,-0.9,-0.3
123,Colgate,0.7,5.3,3,0.9,0.6,1.3
124,Campbell,0.7,2,-7,-0.6,1.7,-5.8
125,La Salle,0.7,1,1,0.8,0.6,-1.3
126,WI-Milwkee,0.7,5.7,6,3.6,-1.9,2.6
127,Oral Roberts,0.7,-1,-12,3.5,-1.5,-1.6
128,St Johns,0.6,-1.7,-3,0.1,1.5,8.1
129,Montana St,0.6,2.7,-8,2.6,-1.6,-2.3
130,Alabama,0.5,-4.7,-5,3.3,-1.8,3.3
131,Mississippi,0.5,-1,5,1.8,-1.5,0.7
132,Niagara,0.5,0.7,-2,1.2,-0.1,0.3
133,Michigan,0.5,1,-1,0.8,0.1,-0.1
134,St Fran (NY),0.5,-5,-6,-1.1,2.1,-0.5
135,Pittsburgh,0.5,8,8,1.8,-1.1,3.2
136,St Fran (PA),0.5,5.7,-1,7.1,-3.8,1.3
137,SE Missouri,0.4,1.3,8,0.5,0.4,-0.3
138,Florida St,0.4,0.7,5,1.9,-1.4,-0.1
139,Utah State,0.4,1.7,5,2.9,-2,3.4
140,Florida A&M,0.4,1.7,-3,-0.5,0.9,-2.4
141,Ball State,0.4,-0.7,1,-2.4,3.1,3.3
142,James Mad,0.3,1.7,-7,2.8,-1.9,-2.4
143,Liberty,0.3,-0.7,-15,4.1,-3,-3.2
144,Beth-Cook,0.3,2,3,3.3,-1.6,-0.4
145,Iowa State,0.2,-4.3,-5,1.4,-1.2,1.1
146,U Penn,0.1,0.3,-7,2.7,-1.9,1.2
147,Providence,0.1,3,8,0.5,-0.2,0
148,NC State,0.1,1.3,5,2.1,-1.9,0
149,Utah,0.1,6.7,8,2.1,-1.6,0.6
150,Coastal Car,0.1,7.7,0,4.5,-3.4,-1.6
151,LA Tech,0.1,0.3,-1,4.3,-2.6,-1.2
152,Connecticut,0.1,-3.3,-3,2.7,-2.1,-1.4
153,Middle Tenn,0.1,3,-8,3,-2.3,-3.8
154,Arizona,0,-8.7,-9,3.7,-4.1,3.9
155,Syracuse,0,-0.7,0,2.2,-2.6,-0.2
156,Belmont,0,-2,-5,0.1,-0.1,-2.2
157,E Carolina,0,-4,6,5.6,-6.5,1.1
158,Sacred Hrt,0,-0.7,7,0.2,-0.1,1.9
159,DePaul,0,-5.7,-8,0.8,-0.7,0.8
160,Notre Dame,-0.1,2.3,9,1.2,-1.7,-2
161,S Mississippi,-0.1,10.3,7,2.3,-2.1,0
162,Drexel,-0.1,2.3,-4,0.9,-1,0.7
163,Howard,-0.2,-2.7,-10,-1.1,0.6,5.1
164,Monmouth,-0.2,-3.3,-10,1.4,-1.4,-2.4
165,Bucknell,-0.2,-6.3,0,2.6,-1.8,1
166,Furman,-0.2,-4.7,-5,0.6,-0.9,0.5
167,Indiana St,-0.2,7,10,1.5,-2.2,-1
168,Delaware,-0.2,-2,-2,2.5,-2.6,1
169,Marist,-0.3,-1.3,-12,1.6,-2.1,-0.8
170,Austin Peay,-0.3,1.3,-8,2.3,-2.1,-3.5
171,Columbia,-0.3,-3,-9,0.8,-1,-5
172,E Kentucky,-0.3,-0.7,3,1.4,-1.7,0.7
173,Northwestern,-0.4,9.7,7,-2.7,1.5,-2.5
174,Portland,-0.4,3,2,4.5,-4.1,0.7
175,Ohio,-0.5,2,10,-1.6,0.4,-4.1
176,TX Christian,-0.5,-9.3,-8,1.9,-3.8,-0.4
177,Alab A&M,-0.5,-7.3,-4,0.7,-1.2,-0.2
178,Norfolk St,-0.5,-2,-5,1.6,-2.1,-0.1
179,New Mexico,-0.5,6,2,0.2,-1.6,1
180,High Point,-0.5,-3,-13,-0.8,-0.2,-0.5
181,WI-Grn Bay,-0.6,2.3,8,3.5,-4.4,-2.3
182,TN Tech,-0.6,3,2,0.7,-1.7,-2.1
183,Nebraska,-0.6,1,2,2.9,-5.5,-2.1
184,Kansas St,-0.6,-0.3,-2,1.7,-3.7,-0.6
185,Boston Col,-0.6,-4.7,0,1.6,-2.6,-0.3
186,San Jose St,-0.6,-8,-7,2.2,-3.7,5.3
187,NW State,-0.6,-2.3,-6,2.7,-2.5,0.3
188,Hartford,-0.7,-5,-4,-1.2,-0.4,2.5
189,Texas State,-0.7,-0.3,-3,0.9,-1.5,0.9
190,Chicago St,-0.7,3,-8,0.2,-1.1,-2.6
191,E Washingtn,-0.7,7.7,-3,6.1,-4.9,-0.7
192,Toledo,-0.7,0.3,4,4,-3.7,0.4
193,NC A&T,-0.8,2,5,3.1,-2.9,-4.4
194,Rutgers,-0.8,2.3,1,2.2,-4.2,4.7
195,Wyoming,-0.8,-2.3,-5,1.1,-3.2,0.8
196,Col Charlestn,-0.8,1,-1,-1.1,-0.4,0.1
197,E Michigan,-0.8,2.7,-5,2.4,-2.9,0.4
198,Stony Brook,-0.8,-3.7,-2,0.9,-2.4,-1
199,Seton Hall,-0.8,3.3,-4,-1.9,0.2,1.3
200,Alabama St,-0.8,-7,-16,4.5,-3.8,-1.2
201,Loyola Mymt,-0.9,-2.7,-2,1.9,-3.3,-0.3
202,Binghamton,-0.9,4.3,1,1.9,-2.7,-1.5
203,Gonzaga,-0.9,1,1,3.5,-4.5,1.4
204,Youngs St,-1,-4,-4,2.2,-3.5,-0.3
205,Illinois St,-1,-3.3,-2,-0.4,-1.5,-1.2
206,Rice,-1,-7,-9,1.2,-2.7,-2.2
207,St Marys,-1,-1.7,-4,1.2,-2.9,-2.6
208,Morgan St,-1,-3.3,-17,2.2,-2.9,0.8
209,Denver,-1,2,0,2.1,-3.7,4.1
210,Hawaii,-1.1,-2.3,0,-0.2,-2.2,0.2
211,Grambling St,-1.1,8.3,21,3.3,-3.3,-5.6
212,GA Tech,-1.1,2,3,2.2,-3.5,1.6
213,Nicholls St,-1.1,-1,3,0.3,-2.2,-6.8
214,Dayton,-1.1,-1.3,11,-1.2,-0.9,-0.1
215,Loyola-Chi,-1.1,-0.3,-6,1.9,-2.9,3.4
216,McNeese St,-1.1,-3.3,-3,0,-1.9,-1.9
217,Rider,-1.2,6,6,2.1,-4,0.4
218,Albany,-1.2,-6.7,-7,4,-5.7,-2.8
219,Lehigh,-1.2,-3,-5,2.5,-3.8,-1.7
220,Prairie View,-1.2,1,1,-0.2,-1.8,-2.6
221,UC Riverside,-1.3,-3,-1,1,-3.1,-3
222,Hampton,-1.3,-0.3,-5,2.5,-3.5,0.6
223,,-1.3,-0.7,-9,3.2,-4.6,-1
224,Jksnville St,-1.3,1,1,-2.2,-0.5,4.4
225,Chattanooga,-1.3,-0.7,4,0.6,-2.7,0.4
226,Princeton,-1.3,2,-2,0,-2.4,1.4
227,Kansas,-1.3,-1.3,-4,2.9,-4.6,4.6
228,LA Monroe,-1.4,3.3,1,2.5,-3.5,4.4
229,,-1.4,1.3,4,0.3,-2.7,-1
230,TX Southern,-1.4,-3.7,-7,0.1,-2.6,-0.1
231,Fresno St,-1.5,-7.7,-5,-0.6,-2.7,2.2
232,Michigan St,-1.5,-1.7,7,0,-3.1,1.4
233,Arizona St,-1.5,-4.7,-3,1.3,-4.9,3.1
234,Savannah St,-1.5,-2.7,-5,1.2,-2.9,-1.7
235,Arkansas St,-1.6,-4,-9,3.5,-5.9,1.2
236,Wm & Mary,-1.6,-5.7,2,-1.7,-1.6,-2.2
237,W Virginia,-1.6,-3.7,-3,-0.5,-2.9,-2.8
238,TN Martin,-1.6,-1,-8,1.1,-3.3,-0.7
239,Tennessee,-1.6,-8.3,-9,-0.9,-2.7,-2
240,LSU,-1.6,-3,0,0.4,-4.1,1.1
241,Portland St,-1.7,-0.3,6,2.7,-4.1,-2
242,VCU,-1.8,-7.3,-8,-2.8,-0.5,-1.5
243,Houston,-1.8,-4,-4,0.6,-6,-8
244,Yale,-2,1.7,9,-2,-2,-1.1
245,NC-Asheville,-2,-2.3,6,-1.8,-2.2,-4.7
246,E Illinois,-2,-10.3,-20,-1,-2.8,1.1
247,N Iowa,-2.1,-2.3,-2,-2.5,-1.7,-3.7
248,Baylor,-2.1,-10.7,-25,-0.4,-4.5,1.2
249,TX-San Ant,-2.1,0,9,-3,-1.4,-4.3
250,Navy,-2.2,1,-6,-0.5,-3.8,-1.1
251,Delaware St,-2.2,4,2,1.7,-4.3,0.7
252,TX-Arlington,-2.2,-1,-4,-0.9,-3.1,-0.1
253,Iowa,-2.3,-8,-9,1.9,-6.1,-1.1
254,Wichita St,-2.3,-3.3,0,-0.3,-4.4,-1.3
255,Brown,-2.3,-3.7,-4,1.9,-5.4,-2.1
256,North Texas,-2.3,-4,2,0.7,-4.2,-5.9
257,Colorado,-2.4,2.3,10,-2.1,-2.7,-0.3
258,Clemson,-2.5,-2,4,-2.4,-2.7,1.7
259,Central Mich,-2.5,7.7,3,-2.6,-2.5,-3
260,N Mex State,-2.6,0,10,0.8,-6.3,1.2
261,Virginia,-2.6,-6,0,-2.7,-2.5,-3.3
262,S Methodist,-2.6,-3.7,-7,-2,-3.1,0.6
263,Villanova,-2.7,1,-1,-0.3,-4.7,3.5
264,Maryland ES,-2.7,-7.7,-9,0.7,-5.1,1.1
265,Montana,-2.7,0.7,-4,-2.5,-2.9,-1.4
266,Wagner,-2.7,-4.7,-5,-3.5,-2.1,1.2
267,Mercer,-2.8,1.3,-4,-0.2,-4.3,-2.3
268,Davidson,-2.8,1.7,6,1.3,-5.3,-5.7
269,Wright State,-2.8,-5.7,5,-1.8,-3.7,-0.4
270,Marshall,-2.9,-9.3,-22,-2.4,-3.5,-4.2
271,Charl South,-3,-11,-4,-1.8,-3.7,2.4
272,Idaho State,-3,0.3,2,1.2,-5.9,0.5
273,UC Davis,-3,-3,-3,--,-3,--
274,Iona,-3,1.7,-12,-1.9,-3.8,0.2
275,Harvard,-3,4.7,6,-1.3,-4.4,1.3
276,Citadel,-3,-9,-7,-1.2,-4.8,-1.9
277,Towson,-3.1,-3.3,0,-2.7,-3.4,-12.5
278,Cal Poly,-3.1,2.7,2,1.2,-6.7,-1.6
279,Georgia St,-3.1,-12,-27,-5.2,-1.2,-0.7
280,Valparaiso,-3.2,0.7,2,-3.7,-2.7,2
281,Gard-Webb,-3.3,-7,-12,-2.4,-3.9,-2.9
282,Tulsa,-3.3,3.7,7,1.3,-7.7,-2.1
283,IPFW,-3.3,-0.3,5,-0.1,-4.8,-3.8
284,Lg Beach St,-3.4,-6.7,-3,1.3,-7.4,-6.7
285,UCLA,-3.4,-4.7,-2,-0.9,-7.2,-3.7
286,Rob Morris,-3.4,-3,-2,-4,-3,-3.2
287,NC-Grnsboro,-3.5,-6,0,-1.6,-5.1,-1.7
288,Florida,-3.6,-13,-11,0.1,-7.6,0.5
289,Duquesne,-3.7,-1.7,0,-2.4,-5.2,-4.8
290,Loyola-MD,-3.7,-6.3,-7,-5.2,-2.6,-7
291,Penn State,-3.7,-8.7,-14,-2.9,-4.5,-1.6
292,Canisius,-3.7,-9.3,-12,-3.8,-3.6,-2.4
293,U Mass,-3.8,-7.7,7,-3.2,-4.4,-5
294,Cleveland St,-3.8,-14,-18,-3.8,-3.8,-5.5
295,W Carolina,-3.8,0.7,2,-3.3,-4.2,-1
296,Morehead St,-4,-4,0,-2.4,-5.1,1.4
297,Akron,-4,-1,-5,-0.6,-6.9,-0.1
298,Jacksonville,-4,-3.7,-1,-2.6,-5.2,-4.4
299,N Arizona,-4,-10.3,-22,-0.5,-6.1,-1.7
300,Maine,-4,1.3,3,-4.3,-3.8,-6.5
301,N Hampshire,-4.1,-3.7,-19,-3.2,-4.7,-2.2
302,Pacific,-4.3,-8.7,-7,-0.9,-6.7,0.4
303,N Illinois,-4.5,-14.3,-17,-4.5,-4.5,-0.4
304,S Utah,-4.5,-8,7,-2.4,-6.1,-3.4
305,Bowling Grn,-4.5,-6.3,-4,-4.1,-5,-4.6
306,Fordham,-4.8,0.7,-3,-2.4,-6.6,-5.9
307,Oregon,-4.8,-7.7,-4,-4.4,-5.2,-0.4
308,Sam Hous St,-4.9,-8,-16,-1.7,-6.8,-2.6
309,UNLV,-5.1,-6,-6,-3.7,-6.5,1.7
310,Wofford,-5.5,-3.7,-2,-5.8,-5.4,-1.3
311,UC Irvine,-5.6,0.7,-5,-2.1,-7.9,1.9
312,Dartmouth,-5.7,-5,-1,-5.2,-6.1,-3
313,Alcorn State,-5.7,-8.7,-3,-4.2,-6.8,-1.6
314,San Diego,-5.8,-8.3,-8,-1.8,-8.2,-2.2
315,Tulane,-6.1,-10.7,-6,-4.1,-9,-0.7
316,Samford,-6.1,-8,1,-4.9,-6.7,-7.9
317,LIU-Brooklyn,-6.1,-9,-3,-5.5,-6.8,-1.4
318,VA Military,-6.2,-4,-10,-5.3,-6.8,-1.9
319,W Illinois,-6.3,-9,-17,-4.1,-8,-3.7
320,S Florida,-6.3,-9.7,-1,-5.3,-7.5,-1.6
321,Colorado St,-6.4,1.3,5,-6,-6.6,-4.7
322,Evansville,-6.4,-10,-11,-2.8,-8.9,-5.5
323,Florida Intl,-6.4,-13.3,-13,-4.6,-8.2,3.7
324,Lipscomb,-6.8,-5,-4,-2.2,-10.8,-9.7
325,Lafayette,-7.7,-5.3,-11,-3.6,-10.7,-4.1
326,Army,-8.7,-3,-4,-7.8,-9.7,-6.9
327,Ark Pine Bl,-9.7,-11.7,-21,-7.5,-11,-6.2
