Rank,Player,Team,Pos,Efficiency
1,Keaton Jackson,SIU - Edwardsville Cougars,F,74.7%
2,Mamadou Ndiaye,UC Irvine Anteaters,C,71.3%
3,Ethan Wragge,Creighton Bluejays,F,70.6%
4,Jordan Parks,North Carolina Central Eagles,G,68.1%
5,Jason Calliste,Oregon Ducks,G,67.0%
6,Martin Seiferth,Eastern Washington Eagles,F,66.7%
7,Isaiah Williams,Iona Gaels,G,66.5%
8,Austin Tillotson,Colgate Raiders,G,66.3%
9,Eric Stutz,Eastern Kentucky Colonels,F,65.6%
10,Sim Bhullar,New Mexico St. Aggies,C,65.1%
11,Drew Windler,Belmont Bruins,F,65.1%
12,Evan Bradds,Belmont Bruins,G,64.9%
13,Brady Heslip,Baylor Bears,G,64.6%
14,Jon Smith,Ohio Bobcats,F,64.6%
15,William Truss,Presbyterian Blue Hose,C,64.5%
16,T.J. Bray,Princeton Tigers,G,64.5%
17,Kevin Ferguson,Army Black Knights,C,64.3%
18,Michael Frazier II,Florida Gators,G,64.1%
19,Kyle Hittle,Incarnate Word Cardinals,SG,63.7%
20,Joey Ptasinski,Lafayette Leopards,G,63.7%
21,Parker Wentz,Abilene Christian Wildcats,G,63.5%
22,Zikiteran Woodley,Northwestern St. Demons,G,63.5%
23,Nate Buss,Northern Iowa Panthers,F,63.5%
24,Marshall Bjorklund,North Dakota State Bison,F,63.3%
25,Ricardo Glenn,South Carolina Upstate Spartans,F,63.3%
26,Jarvis Williams,Murray St. Racers,F,63.2%
27,Tre Bowman,Iona Gaels,G,63.1%
28,Dennis Ogbe,Tennessee Tech Golden Eagles,F,63.1%
29,Jameel Warney,Stony Brook Seawolves,F,63.0%
30,Joel Embiid,Kansas Jayhawks,C,62.9%
31,Terrence Smith,New Jersey Tech Highlanders,F,62.9%
32,A.J. Pacher,Wright St. Raiders,F,62.7%
33,Egidijus Mockevicius,Evansville Purple Aces,C,62.7%
34,Jon Harris,Cleveland St. Vikings,F,62.7%
35,Tyler Kalinoski,Davidson Wildcats,G,62.5%
36,Karvel Anderson,Robert Morris Colonials,G,62.4%
37,Andrew Smith,Liberty Flames,F,62.3%
38,Gene Teague,Seton Hall Pirates,C,62.1%
39,Sean Armand,Iona Gaels,G,61.9%
40,Casey Prather,Florida Gators,F,61.8%
41,Marquise Simmons,St. Bonaventure Bonnies,F,61.7%
42,Montrezl Harrell,Louisville Cardinals,F,61.6%
43,Mo Evans,IUPU - Ft. Wayne Mastodons,G,61.6%
44,Melvin Johnson III,Arkansas St. Red Wolves,G,61.6%
45,De'Mon Brooks,Davidson Wildcats,F,61.5%
46,Jordan Heath,Canisius Golden Griffins,F,61.5%
47,Jesse Reed,American U. Eagles,G,61.4%
48,Brandon Goode,Norfolk State Spartans,C,61.4%
49,Mark Tollefsen,San Francisco Dons,F,61.1%
50,Paul Baxter,Sam Houston St. Bearkats,G,61.0%
51,Patricio Garino,George Washington Colonials,G,60.9%
52,Aaron White,Iowa Hawkeyes,F,60.8%
53,Dylan Garrity,Sacramento State Hornets,G,60.8%
54,Coron Williams,Wake Forest Demon Deacons,G,60.8%
55,Devon Collier,Oregon St. Beavers,F,60.6%
56,Steve Forbes,IUPU - Ft. Wayne Mastodons,F,60.5%
57,Jordan Harks,Illinois-Chicago Flames,F,60.5%
58,Doug McDermott,Creighton Bluejays,F,60.5%
59,Tymell Murphy,Florida International Golden Panthers,F,60.5%
60,Tim Huskisson,Northern Colorado Bears,F,60.5%
61,Matt Kennedy,Charleston Southern Buccaneers,G,60.4%
62,Phil Forte,Oklahoma St. Cowboys,G,60.3%
63,Brian Fitzpatrick,Bucknell Bison,F,60.3%
64,Issiah Grayson,Cal. State - Bakersfield Roadrunners,G,60.3%
65,Tim Williams,Samford Bulldogs,F,60.2%
66,Thomas van der Mars,Portland Pilots,C,60.2%
67,Derrick Barden,Northern Colorado Bears,F,60.2%
68,Manny Atkins,Georgia St Panthers,F,60.2%
69,Ryan Spangler,Oklahoma Sooners,F,60.2%
70,Sebastian Koch,Elon University Phoenix,G,60.1%
71,Zarko Valjarevic,Maine Black Bears,F,60.1%
72,Jeffrey Solarin,Idaho State Bengals,F,60.1%
73,Kyle Richardson,Portland St. Vikings,F,60.0%
74,Orlando Williams,Eastern Kentucky Colonels,G,60.0%
74,Dustin Hogue,Iowa St. Cyclones,F,60.0%
76,Sam Dower,Gonzaga Bulldogs,C,59.9%
77,Gary Bell Jr.,Gonzaga Bulldogs,G,59.9%
78,Max Jacobsen,Northern Arizona Lumberjacks,F,59.8%
79,Kyle Tresnak,Weber St. Wildcats,C,59.8%
80,Dylan Cox,Army Black Knights,G,59.8%
81,Ethan Jacobs,Colgate Raiders,C,59.7%
82,Connar Tava,Western Michigan Broncos,F,59.7%
83,Craig Bradshaw,Belmont Bruins,G,59.7%
84,Nik Stauskas,Michigan Wolverines,G,59.7%
85,Tommy Spagnolo,Appalachian St. Mountaineers,F,59.6%
86,Devante Wallace,High Point Panthers,G,59.6%
87,Dominique McKoy,Duquesne Dukes,F,59.5%
88,Dan Jennings,Long Beach St. 49ers,F,59.5%
89,Michael Craig,Southern Miss Golden Eagles,G,59.4%
90,Willie Clayton,Charlotte 49ers,F,59.3%
91,Darrun Hilliard,Villanova Wildcats,G,59.3%
92,Chris Horton,Austin Peay Governors,C,59.3%
93,TaShawn Thomas,Houston Cougars,F,59.2%
94,Ya Ya Anderson,Radford Highlanders,G,59.2%
95,Greg Mays,Green Bay Phoenix,F,59.2%
96,Trevor Releford,Alabama Crimson Tide,G,59.2%
97,Jordan Sibert,Dayton Flyers,G,59.1%
98,Bud Thomas,Mercer Bears,F,59.1%
99,Sean Obi,Rice Owls,F,59.1%
100,Anthony Brown,Stanford Cardinal,G,59.1%
