id	kg_name	ss_name	tr_name
501	Abilene Chr	Abilene Christian	Abilene Christian
502	Air Force	Air Force	Air Force
503	Akron	Akron	Akron
504	Alabama	Alabama	Alabama
505	Alabama A&M	Alabama A&M	Alab A&M
506	Alabama St	Alabama State	Alabama St
507	Albany NY	Albany	Albany
508	Alcorn St	Alcorn State	Alcorn State
509	American Univ	American University	American
510	Appalachian St	Appalachian State	App State
511	Arizona	Arizona	Arizona
512	Arizona St	Arizona State	Arizona St
513	Ark Little Rock	Arkansas-Little Rock	AR Lit Rock
514	Ark Pine Bluff	Arkansas-Pine Bluff	Ark Pine Bl
515	Arkansas	Arkansas	Arkansas
516	Arkansas St	Arkansas State	Arkansas St
517	Army	Army	Army
518	Auburn	Auburn	Auburn
519	Austin Peay	Austin Peay	Austin Peay
520	Ball St	Ball State	Ball State
521	Baylor	Baylor	Baylor
522	Belmont	Belmont	Belmont
523	Bethune-Cookman	Bethune-Cookman	Beth-Cook
524	Binghamton	Binghamton	Binghamton
525	Birmingham So		
526	Boise St	Boise State	Boise State
527	Boston College	Boston College	Boston Col
528	Boston Univ	Boston University	Boston U
529	Bowling Green	Bowling Green	Bowling Grn
530	Bradley	Bradley	Bradley
531	Brown	Brown	Brown
532	Bryant	Bryant	Bryant
533	Bucknell	Bucknell	Bucknell
534	Buffalo	Buffalo	Buffalo
535	Butler	Butler	Butler
536	BYU	Brigham Young	BYU
537	C Michigan	Central Michigan	Central Mich
538	Cal Poly SLO	Cal Poly	Cal Poly
539	California	California	California
540	Campbell	Campbell	Campbell
541	Canisius	Canisius	Canisius
542	Cent Arkansas	Central Arkansas	Central Ark
543	Centenary		
544	Central Conn	Central Connecticut State	Central Conn
545	Charleston So	Charleston Southern	Charl South
546	Charlotte	Charlotte	Charlotte
547	Chattanooga	Chattanooga	Chattanooga
548	Chicago St	Chicago State	Chicago St
549	Cincinnati	Cincinnati	Cincinnati
550	Citadel	Citadel	Citadel
551	Clemson	Clemson	Clemson
552	Cleveland St	Cleveland State	Cleveland St
553	Coastal Car	Coastal Carolina	Coastal Car
554	Col Charleston	College of Charleston	Col Charlestn
555	Colgate	Colgate	Colgate
556	Colorado	Colorado	Colorado
557	Colorado St	Colorado State	Colorado St
558	Columbia	Columbia	Columbia
559	Connecticut	Connecticut	Connecticut
560	Coppin St	Coppin State	Coppin State
561	Cornell	Cornell	Cornell
562	Creighton	Creighton	Creighton
563	CS Bakersfield	Cal State Bakersfield	CS Bakersfld
564	CS Fullerton	Cal State Fullerton	CS Fullerton
565	CS Northridge	Cal State Northridge	Cal St Nrdge
566	CS Sacramento	Sacramento State	Sac State
567	Dartmouth	Dartmouth	Dartmouth
568	Davidson	Davidson	Davidson
569	Dayton	Dayton	Dayton
570	Delaware	Delaware	Delaware
571	Delaware St	Delaware State	Delaware St
572	Denver	Denver	Denver
573	DePaul	DePaul	DePaul
574	Detroit	Detroit	Detroit
575	Drake	Drake	Drake
576	Drexel	Drexel	Drexel
577	Duke	Duke	Duke
578	Duquesne	Duquesne	Duquesne
579	E Illinois	Eastern Illinois	E Illinois
580	E Kentucky	Eastern Kentucky	E Kentucky
581	E Michigan	Eastern Michigan	E Michigan
582	E Washington	Eastern Washington	E Washingtn
583	East Carolina	East Carolina	E Carolina
584	Edwardsville	SIU Edwardsville	SIU Edward
585	Elon	Elon	Elon
586	ETSU	East Tennessee State	E Tenn St
587	Evansville	Evansville	Evansville
588	F Dickinson	Fairleigh Dickinson	F Dickinson
589	Fairfield	Fairfield	Fairfield
590	FL Atlantic	Florida Atlantic	Fla Atlantic
591	FL Gulf Coast	Florida Gulf Coast	Fla Gulf Cst
592	Florida	Florida	Florida
593	Florida A&M	Florida A&M	Florida A&M
594	Florida Intl	Florida International	Florida Intl
595	Florida St	Florida State	Florida St
596	Fordham	Fordham	Fordham
597	Fresno St	Fresno State	Fresno St
598	Furman	Furman	Furman
599	G Washington	George Washington	Geo Wshgtn
600	Ga Southern	Georgia Southern	GA Southern
601	Gardner Webb	Gardner-Webb	Gard-Webb
602	George Mason	George Mason	Geo Mason
603	Georgetown	Georgetown	Georgetown
604	Georgia	Georgia	Georgia
605	Georgia St	Georgia State	Georgia St
606	Georgia Tech	Georgia Tech	GA Tech
607	Gonzaga	Gonzaga	Gonzaga
608	Grambling	Grambling State	Grambling St
609	Grand Canyon		Grand Canyon
610	Hampton	Hampton	Hampton
611	Hartford	Hartford	Hartford
612	Harvard	Harvard	Harvard
613	Hawaii	Hawaii	Hawaii
614	High Point	High Point	High Point
615	Hofstra	Hofstra	Hofstra
616	Holy Cross	Holy Cross	Holy Cross
617	Houston	Houston	Houston
618	Houston Bap	Houston Baptist	Houston Bap
619	Howard	Howard	Howard
620	Idaho	Idaho	Idaho
621	Idaho St	Idaho State	Idaho State
622	IL Chicago	UIC	IL-Chicago
623	Illinois	Illinois	Illinois
624	Illinois St	Illinois State	Illinois St
625	Indiana	Indiana	Indiana
626	Indiana St	Indiana State	Indiana St
627	Iona	Iona	Iona
628	Iowa	Iowa	Iowa
629	Iowa St	Iowa State	Iowa State
630	IPFW	IPFW	IPFW
