ID,Median Height,Median Weight,Max Height,Max Weight,Senior Count,Junior Count,Sophomore Count,Freshman Count
Q551,77.5,210.0,86,255.0,4,2,0,6
Q550,76.0,189.0,81,249.0,1,2,4,8
Q553,75.0,200.0,83,250.0,6,5,1,3
Q552,76.0,210.0,81,265.0,4,1,2,6
Q555,77.0,218.0,83,263.0,4,6,3,2
Q554,77.0,197.5,81,240.0,1,4,5,4
Q557,76.0,202.0,84,282.0,3,5,3,2
Q556,77.0,210.0,84,260.0,4,1,6,4
Q559,78.0,202.5,85,270.0,4,1,6,5
Q558,77.0,205.0,82,265.0,5,4,4,6
S788,77.5,195.0,82,270.0,3,3,5,5
S789,78.0,210.0,82,240.0,1,4,3,2
Q805,78.0,220.0,84,250.0,3,3,4,3
Q809,78.0,210.0,81,260.0,5,4,3,3
Q808,75.0,185.0,80,225.0,6,4,2,4
Q804,76.0,185.0,83,240.0,5,5,2,5
Q803,75.0,190.0,81,255.0,4,5,3,3
O736,79.0,200.0,83,270.0,4,3,3,6
K672,76.5,195.0,82,235.0,0,3,2,7
K673,77.5,202.5,81,265.0,2,1,6,3
K670,77.0,205.0,83,250.0,6,4,2,3
K671,77.0,210.0,83,270.0,2,5,2,9
K676,78.0,220.0,81,270.0,2,2,5,2
L553,76.0,195.0,80,240.0,2,2,6,5
K674,78.0,192.0,81,310.0,0,2,5,6
L551,78.0,208.0,83,260.0,1,4,5,5
J727,79.0,215.0,82,250.0,2,2,6,3
J726,79.0,230.0,87,320.0,4,3,5,3
J725,77.5,205.0,84,275.0,1,2,5,6
J724,76.0,200.0,83,270.0,3,2,3,6
J723,76.0,195.0,87,260.0,1,2,4,4
J722,78.5,220.0,86,289.0,6,2,1,3
J721,76.5,212.5,83,270.0,1,3,3,7
J720,77.0,220.0,82,260.0,5,2,2,4
L794,76.0,200.0,82,250.0,2,6,3,8
L795,77.0,202.5,79,240.0,1,0,3,10
L796,78.5,203.5,84,250.0,4,2,3,7
L797,76.0,197.5,81,250.0,2,2,5,3
L790,76.0,200.0,81,250.0,1,3,4,8
L791,78.0,192.5,83,250.0,2,2,3,3
L792,76.0,197.5,81,295.0,3,2,7,4
L793,74.5,207.5,82,293.0,0,1,4,7
L798,76.0,200.0,79,234.0,3,2,3,3
L799,77.0,204.0,81,245.0,4,2,5,4
O540,77.0,205.0,80,220.0,4,2,4,3
O541,75.0,195.5,81,320.0,3,6,2,3
O542,76.0,205.0,80,250.0,3,7,4,1
O738,76.0,197.0,82,261.0,3,3,3,8
O544,76.0,195.0,78,225.0,1,5,3,4
O545,77.0,195.0,82,238.0,3,3,2,7
O546,77.0,195.0,82,260.0,5,3,3,6
O547,77.0,190.0,85,240.0,1,5,6,3
O548,76.0,197.5,82,290.0,2,11,2,1
O549,76.0,210.0,84,260.0,2,6,2,4
S796,77.5,210.0,84,235.0,1,4,2,4
I731,77.5,220.0,84,282.0,4,2,1,7
I730,77.0,197.0,81,255.0,1,2,3,7
I733,78.5,220.0,83,260.0,2,2,3,5
I732,76.5,200.0,81,250.0,2,2,5,5
O782,76.0,195.0,80,235.0,0,5,4,4
I734,76.0,185.5,83,327.0,4,1,3,6
I737,77.5,217.5,82,245.0,5,3,1,5
I736,78.0,210.0,82,250.0,3,3,3,7
I739,76.0,200.0,83,325.0,3,2,3,5
I738,79.0,224.0,83,275.0,5,2,5,2
O788,74.0,210.0,82,240.0,4,3,7,3
O789,77.0,200.0,83,240.0,3,2,7,3
N688,76.0,190.0,80,230.0,2,7,3,3
S764,78.0,215.0,83,270.0,5,5,2,3
J644,77.0,210.0,82,300.0,2,5,3,3
J645,77.5,194.5,83,260.0,1,1,6,6
P518,77.0,205.0,82,230.0,0,5,7,3
P519,77.5,195.0,81,235.0,1,7,1,5
P516,76.0,205.0,81,260.0,3,4,3,3
N689,78.0,220.0,82,245.0,5,4,3,3
P514,75.0,200.0,82,265.0,4,7,0,4
P515,75.0,193.5,81,236.0,3,5,3,3
P512,77.0,210.0,86,249.0,3,1,4,9
P513,75.0,202.0,81,265.0,5,5,0,4
P510,77.0,207.5,84,285.0,4,6,4,4
P511,78.0,205.0,84,255.0,1,5,6,3
S582,77.0,197.5,85,290.0,0,4,5,5
J648,76.5,207.5,79,230.0,1,0,6,5
S765,76.0,195.0,81,235.0,3,4,2,6
N554,76.0,202.5,80,250.0,3,3,5,3
S766,77.0,198.5,81,248.0,1,4,4,7
S818,77.0,200.0,86,270.0,5,1,5,6
N555,75.0,205.0,83,230.0,4,1,3,5
L556,78.0,205.0,83,280.0,0,2,3,8
L557,78.0,202.5,84,260.0,1,2,3,6
L554,77.0,190.0,82,255.0,2,2,5,4
S767,76.5,195.0,83,245.0,2,6,2,4
L555,76.5,204.5,82,251.0,4,4,4,2
L552,76.0,180.0,81,246.0,3,2,4,4
K677,80.0,220.0,85,250.0,0,4,2,7
S812,76.5,207.5,80,245.0,5,5,4,2
S813,76.0,190.0,82,240.0,4,2,2,7
S810,77.0,215.0,82,255.0,4,2,5,5
S811,77.0,200.0,81,325.0,3,6,3,3
S816,79.0,210.0,84,285.0,5,5,3,2
J729,77.0,215.0,84,270.0,3,1,3,6
S814,76.0,195.0,84,240.0,3,3,4,7
S815,76.0,191.0,81,280.0,2,4,4,7
R851,77.0,200.0,82,245.0,0,5,4,6
R850,78.0,200.0,80,250.0,1,1,5,8
R853,78.0,205.0,82,263.0,3,6,2,6
J728,78.0,202.5,82,238.0,2,4,4,4
R855,76.0,207.0,82,240.0,2,4,5,3
R854,77.5,207.5,83,240.0,3,4,5,4
Q780,76.5,207.5,83,235.0,2,3,6,5
P665,76.5,202.5,84,250.0,5,4,1,4
Q781,78.5,215.0,84,280.0,3,6,3,4
R688,76.5,190.0,81,270.0,0,6,4,4
K678,77.0,205.0,82,255.0,1,4,2,4
P646,76.0,190.0,82,245.0,4,4,3,4
P647,77.0,205.0,84,250.0,4,8,2,3
P644,76.0,195.0,85,260.0,4,3,6,3
K679,75.0,185.0,86,320.0,3,2,1,7
P642,77.0,192.0,84,243.0,4,6,2,3
P643,77.0,195.0,83,260.0,2,8,2,3
P640,79.0,210.0,83,275.0,1,3,1,6
P641,77.0,210.0,84,245.0,5,1,3,4
Q784,76.0,195.0,81,260.0,1,8,3,1
P648,78.0,205.0,82,240.0,3,4,5,3
P649,76.0,192.0,80,235.0,3,5,2,5
O823,77.5,195.0,81,220.0,3,5,3,1
O822,77.0,200.0,85,245.0,1,7,3,5
O821,77.5,205.0,87,255.0,2,6,3,5
O820,76.0,185.0,81,285.0,8,4,1,1
O827,79.0,217.5,83,255.0,2,4,8,2
L558,75.5,197.5,81,235.0,0,6,5,5
O825,76.0,202.5,83,265.0,2,5,3,4
O824,79.0,200.0,83,275.0,0,10,2,3
N558,76.0,202.5,84,240.0,4,4,2,6
O829,77.0,205.0,83,250.0,4,3,1,5
L559,78.0,195.0,87,255.0,0,0,6,9
N559,76.5,202.5,87,265.0,6,6,2,2
N503,76.0,205.0,82,250.0,2,3,3,9
N502,77.0,197.0,82,235.0,3,4,3,7
N507,78.0,215.0,83,260.0,3,3,1,6
N506,76.5,192.5,85,265.0,4,2,3,5
N505,77.0,190.0,81,300.0,3,4,4,4
N504,77.0,215.0,82,240.0,2,5,2,2
N509,76.0,190.0,82,240.0,7,0,3,5
N508,75.0,185.0,80,255.0,3,5,2,3
S738,77.0,198.0,84,251.0,4,1,5,5
Q756,76.0,205.0,81,260.0,4,6,1,4
S737,78.0,212.5,84,250.0,4,3,4,3
N729,77.0,205.0,82,245.0,4,0,7,3
N728,78.0,210.0,82,245.0,5,3,6,5
R509,77.0,202.5,83,235.0,6,3,3,4
R508,76.5,197.5,84,285.0,5,5,1,7
N723,77.0,205.0,82,250.0,1,2,4,6
N722,77.5,207.5,83,235.0,6,2,6,2
N721,78.0,208.0,83,267.0,3,4,3,3
N720,77.0,205.0,84,275.0,0,6,4,3
N727,76.0,200.0,81,240.0,5,4,2,5
N726,77.0,205.0,83,250.0,3,4,4,2
N725,77.0,190.0,82,260.0,2,3,2,8
N724,75.0,201.0,81,268.0,3,4,2,6
S733,75.0,190.0,82,290.0,5,10,0,2
O839,76.0,200.0,84,250.0,5,3,7,2
M675,76.0,195.0,81,265.0,2,2,4,7
I838,77.0,205.0,82,270.0,3,2,3,5
I839,77.5,208.0,83,280.0,1,3,7,5
S731,78.0,214.0,82,260.0,1,4,4,5
I832,78.0,197.5,81,240.0,2,3,2,5
I833,79.0,202.5,83,265.0,2,3,5,2
I830,78.0,220.0,82,255.0,1,3,4,7
I831,77.0,215.0,81,243.0,1,0,5,7
I836,78.0,210.0,82,245.0,2,3,6,3
I834,77.0,200.0,81,240.0,1,2,4,6
I835,77.5,207.5,84,320.0,3,1,3,5
N657,77.0,205.0,82,250.0,3,3,3,6
O801,77.0,200.0,81,255.0,3,5,2,4
N655,77.5,207.5,83,240.0,5,2,1,4
N654,78.0,205.0,81,240.0,4,4,1,6
N653,77.0,190.0,81,245.0,3,3,4,5
N652,77.5,197.5,81,230.0,3,0,6,5
N651,76.0,201.0,81,260.0,3,4,2,5
N650,77.0,205.0,83,250.0,2,4,1,4
R764,77.5,197.5,83,290.0,1,5,6,1
N659,75.0,180.0,81,225.0,2,2,4,6
N658,77.0,200.0,81,250.0,2,6,5,1
O802,77.0,210.0,84,255.0,4,4,3,5
Q753,75.0,185.0,83,265.0,1,3,1,10
O805,77.0,210.0,82,260.0,3,3,1,5
J655,79.0,209.5,82,295.0,2,3,5,2
O804,78.0,200.0,83,265.0,4,7,2,4
M748,77.5,209.5,82,245.0,5,0,5,6
M749,78.0,205.0,83,245.0,4,3,3,3
O807,76.0,203.0,81,245.0,2,5,5,3
M740,78.0,190.0,81,278.0,3,4,4,4
M741,78.0,217.5,83,280.0,4,4,3,3
M742,76.0,200.0,82,250.0,0,6,4,5
M743,77.0,200.0,81,240.0,2,3,4,6
M744,75.0,200.0,83,255.0,4,3,2,4
M745,75.0,200.0,84,245.0,3,2,4,6
M746,76.0,210.0,83,265.0,1,5,1,6
M747,76.0,185.0,82,265.0,1,6,4,4
K805,77.0,200.0,81,220.0,5,2,3,5
L539,77.0,205.0,83,250.0,2,3,1,7
K807,77.0,195.0,82,260.0,2,1,4,6
K806,77.0,197.5,86,285.0,0,1,3,6
K801,78.0,205.0,81,265.0,2,3,3,3
K800,79.0,200.0,80,245.0,1,1,4,5
K803,77.5,197.5,83,240.0,1,0,4,7
K802,78.0,214.0,82,250.0,2,1,2,6
J654,77.5,185.0,83,240.0,3,0,4,7
K809,77.0,207.5,81,225.0,2,2,12,8
K808,75.0,191.0,83,230.0,2,1,3,9
L769,79.0,205.0,83,270.0,2,1,2,6
L768,79.0,215.0,81,230.0,2,4,3,4
R524,76.0,195.0,80,240.0,4,5,3,3
L761,76.0,205.0,81,270.0,2,2,3,6
L762,76.0,205.0,81,250.0,1,3,2,7
L765,76.0,200.0,81,255.0,0,1,7,5
L764,76.0,205.0,82,265.0,3,3,2,3
L767,77.0,197.5,85,255.0,2,5,2,5
L766,75.0,195.0,82,255.0,3,1,5,6
R727,75.5,200.0,82,255.0,7,7,2,2
O786,78.0,205.0,84,261.0,2,3,4,6
J549,77.0,200.0,81,250.0,3,5,0,5
J548,75.0,205.0,85,260.0,0,2,6,5
Q751,76.0,195.0,83,265.0,2,9,2,2
R722,77.0,210.0,84,260.0,3,2,6,4
R721,78.0,208.0,82,238.0,3,6,2,6
O787,76.0,192.5,84,260.0,5,4,4,1
J541,75.0,188.0,82,256.0,1,4,2,4
J540,77.0,197.5,81,235.0,1,0,4,7
J547,75.5,195.0,82,255.0,0,2,5,5
J546,77.0,207.0,84,250.0,4,1,2,4
J545,76.0,205.0,81,240.0,1,3,5,5
J544,76.0,205.0,83,249.0,1,2,5,6
O785,77.0,210.0,82,335.0,4,2,4,4
O783,77.0,205.0,83,240.0,5,2,6,3
Q700,77.0,202.5,82,240.0,3,5,4,2
Q701,76.5,199.0,83,253.0,3,2,6,3
Q702,77.0,210.0,89,360.0,3,3,4,8
Q704,77.5,197.5,80,225.0,1,3,3,5
O780,75.0,190.0,81,240.0,0,0,5,8
Q706,76.0,200.0,82,265.0,6,3,2,4
Q707,78.0,205.0,83,240.0,5,5,7,0
Q708,77.0,205.0,84,250.0,5,3,4,5
Q709,76.5,191.0,83,265.0,2,6,5,3
O781,78.0,212.5,83,265.0,3,3,1,7
R526,78.5,210.0,81,251.0,1,3,5,5
O513,77.0,206.0,81,295.0,2,7,3,1
P790,78.0,206.0,82,272.0,6,3,3,4
Q625,77.0,195.0,83,245.0,5,4,4,4
P791,76.0,205.0,83,250.0,0,5,5,5
Q624,76.0,204.0,82,260.0,0,7,2,5
R521,77.5,199.5,85,275.0,4,3,2,5
M810,77.0,202.0,82,271.0,2,8,4,2
M811,76.5,184.5,81,250.0,3,0,10,3
M812,75.0,200.0,80,240.0,4,5,4,4
M813,76.5,197.5,82,250.0,3,4,2,3
M814,77.5,190.0,91,360.0,4,2,3,3
M815,77.0,203.0,82,242.0,3,1,5,6
M816,76.0,210.0,82,265.0,4,1,4,4
M817,77.0,205.0,80,240.0,2,4,2,2
M818,78.0,210.0,84,230.0,0,3,4,7
M819,75.5,187.5,81,260.0,3,5,4,2
Q629,75.0,205.0,83,270.0,4,4,4,3
Q832,76.0,205.0,81,240.0,4,3,3,5
Q833,76.5,190.0,81,250.0,3,0,7,2
Q830,78.0,205.0,84,239.0,3,3,5,4
Q628,77.0,203.0,82,247.0,4,2,6,5
Q836,77.0,210.0,82,290.0,5,3,4,3
S798,77.0,190.0,81,250.0,3,3,3,4
Q834,75.0,200.0,82,235.0,3,3,2,4
N807,77.0,207.5,81,235.0,2,5,1,6
S795,77.0,195.0,80,240.0,5,3,2,5
S794,77.0,194.5,83,244.0,3,5,5,5
Q838,78.0,205.0,83,230.0,2,3,5,3
Q839,77.0,195.0,84,240.0,5,2,3,4
S791,76.0,189.5,81,235.0,3,5,3,5
S790,78.0,203.0,82,280.0,4,4,4,3
S793,76.0,195.0,82,285.0,0,2,6,5
S792,76.5,192.5,81,245.0,3,7,3,3
P798,76.0,205.0,82,260.0,2,3,4,8
L755,79.0,215.0,83,240.0,2,2,5,5
P799,78.5,205.0,83,270.0,3,4,1,5
L541,77.0,210.0,80,240.0,4,0,1,8
L540,76.0,185.0,81,230.0,2,4,3,2
J718,78.0,192.5,82,260.0,2,1,2,5
J719,77.0,210.0,83,255.0,2,1,6,4
K669,77.0,212.0,83,295.0,3,4,2,4
K668,76.5,205.5,82,265.0,3,3,4,4
L547,78.0,195.0,85,220.0,3,0,5,5
L546,77.0,202.5,81,265.0,2,3,4,5
J712,75.5,202.5,82,255.0,1,3,4,6
J713,77.5,198.5,84,265.0,2,2,3,7
K667,75.0,185.0,82,255.0,1,5,4,3
J711,78.5,203.0,82,275.0,1,3,3,5
J716,76.5,218.0,82,275.0,0,6,5,3
J717,78.0,220.0,83,256.0,2,4,3,4
J714,75.5,207.5,82,260.0,2,4,2,6
J715,76.5,207.5,82,285.0,1,6,4,1
L787,77.0,190.0,84,265.0,4,1,7,5
L786,78.5,211.0,83,258.0,5,2,3,4
L785,77.0,190.0,81,230.0,3,2,6,6
L784,77.0,200.0,81,245.0,1,1,4,7
L783,77.0,195.0,84,250.0,2,2,4,6
L782,76.0,200.0,84,240.0,1,2,5,3
L781,77.0,205.0,85,265.0,3,1,4,3
L780,77.0,205.0,84,270.0,2,5,2,6
K838,77.0,212.5,81,230.0,1,3,5,3
L789,77.0,200.0,84,300.0,2,3,6,2
L788,75.0,190.0,81,257.0,3,2,2,6
O553,77.0,195.0,82,240.0,3,1,3,6
O552,77.0,192.5,83,280.0,0,5,6,3
O551,78.0,215.0,86,260.0,3,4,4,4
O550,76.0,195.0,84,255.0,2,9,4,10
O557,76.5,200.0,84,270.0,5,5,2,4
O556,78.0,205.0,83,250.0,2,6,3,4
O555,76.0,215.0,83,240.0,2,2,6,4
O554,75.5,197.5,81,230.0,3,5,2,4
S799,77.0,207.5,82,245.0,4,1,5,6
O559,78.0,215.0,84,255.0,5,2,2,5
O558,75.0,200.0,84,275.0,3,4,6,6
R527,78.5,205.0,84,275.0,1,2,7,4
O791,77.0,200.0,80,235.0,2,5,1,5
K834,79.0,192.5,82,240.0,0,1,7,6
O793,77.0,205.0,82,290.0,3,4,3,6
O792,75.0,185.0,80,225.0,2,4,4,4
O795,77.0,200.0,80,240.0,1,8,2,2
N808,77.0,200.0,83,250.0,2,9,1,3
O797,76.0,190.0,83,265.0,2,6,1,4
K835,77.0,215.0,80,245.0,2,1,4,6
O799,78.5,207.5,81,260.0,2,8,2,2
O798,76.0,190.0,82,245.0,0,2,4,9
N809,76.5,197.5,88,295.0,4,4,6,18
R520,76.5,201.0,83,269.0,2,5,0,7
I582,78.0,215.0,83,285.0,1,3,3,5
I583,76.0,215.0,82,250.0,2,1,5,3
I580,77.5,205.0,84,255.0,0,5,4,5
I581,78.0,210.0,82,260.0,1,3,3,5
I586,76.5,202.5,81,260.0,2,3,3,4
I587,78.0,202.0,81,240.0,1,3,2,7
I585,76.0,200.0,80,240.0,2,4,3,4
I588,78.0,205.0,84,260.0,2,2,5,6
I589,76.0,197.5,82,250.0,1,4,5,2
