ID,Games,Wins,Home Wins,Away Wins,Neutral Wins,Losses,Home Losses,Away Losses,Neutral Losses,home_wscore,away_wscore,neutral_wscore
L556,27.0,7.0,6.0,1.0,0,20.0,9.0,10.0,1.0,45.06014773355081,43.85048668317642,0.0
L557,28.0,15.0,8.0,5.0,2.0,13.0,4.0,7.0,2.0,46.75165517206181,46.71117269050249,0.0
L554,33.0,22.0,11.0,8.0,3.0,11.0,2.0,6.0,3.0,46.858291035818716,45.90492284819561,0.0
L555,28.0,9.0,4.0,5.0,0,19.0,9.0,9.0,1.0,46.43272775926913,46.057500856541346,0.0
L552,28.0,7.0,3.0,3.0,1.0,21.0,8.0,12.0,1.0,45.10536376158089,45.24409415036754,9.743168163059984
L553,26.0,11.0,8.0,3.0,0,15.0,5.0,10.0,1.0,46.629064091080174,44.79727596145947,0.0
L550,27.0,4.0,2.0,2.0,0,23.0,9.0,13.0,1.0,44.3975789942752,44.30629687022765,0.0
L551,31.0,21.0,13.0,6.0,2.0,10.0,4.0,5.0,1.0,46.793158620916394,47.029603159366324,0.0
L558,27.0,15.0,9.0,5.0,1.0,12.0,4.0,8.0,1.0,46.960661426746114,46.61712616397652,0.0
L559,31.0,17.0,15.0,2.0,0,14.0,5.0,8.0,1.0,46.701594803259226,46.0135251698508,0.0
O540,28.0,17.0,10.0,7.0,0,11.0,3.0,7.0,1.0,42.267123098852196,41.028757460101154,0.0
O541,32.0,15.0,7.0,5.0,3.0,17.0,5.0,10.0,2.0,41.73710301569187,42.368933108909815,0.5306282510621704
O542,26.0,6.0,2.0,2.0,2.0,20.0,8.0,12.0,1.0,39.45537892467772,36.72244554663643,0.28768207245178085
O543,27.0,6.0,3.0,3.0,0,21.0,9.0,11.0,1.0,37.08870182754255,39.75088839411396,0.0
O544,30.0,12.0,8.0,3.0,1.0,18.0,4.0,13.0,1.0,42.22188468818227,40.460166388029954,0.0
O545,26.0,9.0,7.0,2.0,0,17.0,3.0,14.0,1.0,39.822437215136546,38.16531022782217,0.0
O546,31.0,19.0,10.0,7.0,2.0,12.0,5.0,7.0,1.0,42.53135091814691,42.36408786119421,1.2237754316221157
O547,31.0,13.0,9.0,2.0,2.0,18.0,5.0,11.0,2.0,42.735319789664665,39.13340652733216,0.0
O548,28.0,6.0,4.0,0,2.0,22.0,4.0,17.0,1.0,36.49213317544734,0.0,0.0
O549,33.0,18.0,12.0,2.0,4.0,15.0,4.0,9.0,2.0,43.7136039368164,42.10486071092039,0.0
B617,26.0,10.0,8.0,2.0,0,16.0,5.0,9.0,2.0,43.28021013072954,41.724618519089944,0.0
B616,27.0,8.0,5.0,3.0,0,19.0,9.0,10.0,1.0,38.96787227180419,40.46104460034527,0.0
B615,26.0,11.0,6.0,5.0,0,15.0,4.0,10.0,1.0,41.39116509542315,40.213020449909905,0.0
B613,27.0,20.0,15.0,5.0,0,7.0,3.0,3.0,1.0,43.62147415510946,42.40306880351919,0.0
B612,25.0,16.0,7.0,9.0,0,9.0,4.0,4.0,1.0,40.20239633891453,41.66345966719174,0.0
B611,28.0,17.0,8.0,9.0,0,11.0,5.0,6.0,1.0,41.85960601686305,42.49048803086052,0.0
B610,27.0,8.0,5.0,2.0,1.0,19.0,7.0,12.0,1.0,38.66099921126755,41.06551696674506,0.0
B619,26.0,7.0,6.0,1.0,0,19.0,6.0,12.0,1.0,41.17569216743588,37.9087770971893,0.0
H648,28.0,9.0,3.0,6.0,0,19.0,7.0,11.0,1.0,38.154985570239916,40.563225518136456,0.0
H646,26.0,6.0,6.0,0,0,20.0,6.0,11.0,3.0,40.57090428356996,0.0,0.0
H647,26.0,4.0,4.0,0,0,22.0,8.0,14.0,1.0,44.06365571892144,0.0,0.0
H644,26.0,14.0,9.0,4.0,1.0,12.0,2.0,9.0,1.0,40.135079807798675,38.904423891092705,0.0
H645,29.0,14.0,11.0,3.0,0,15.0,5.0,10.0,1.0,40.53624548014834,37.863867210378075,0.0
H642,27.0,11.0,7.0,3.0,1.0,16.0,5.0,10.0,1.0,39.67895704218555,41.49151960740557,0.0
H643,26.0,12.0,9.0,3.0,0,14.0,3.0,11.0,1.0,42.67755413163978,42.18603952112514,0.0
H640,32.0,29.0,12.0,10.0,7.0,3.0,1.0,1.0,1.0,44.08318099600762,44.2730933861789,5.844558395534982
H641,29.0,12.0,9.0,3.0,0,17.0,5.0,10.0,2.0,42.43046745349751,40.31524154536209,0.0
P646,29.0,16.0,9.0,7.0,0,13.0,2.0,11.0,1.0,44.45655077588651,43.96549206687888,0.0
P647,31.0,20.0,9.0,7.0,4.0,11.0,2.0,6.0,3.0,45.90651610964474,45.50587693597283,4.382651439442723
P644,31.0,16.0,9.0,7.0,0,15.0,5.0,10.0,1.0,45.31502747106036,45.405223641283754,0.0
P645,29.0,16.0,9.0,5.0,2.0,13.0,4.0,9.0,1.0,45.002783716348034,43.24164388081145,0.0
P642,31.0,12.0,7.0,5.0,0,19.0,6.0,12.0,1.0,45.065537815495354,43.57527766729675,0.0
P643,26.0,9.0,4.0,4.0,1.0,17.0,5.0,11.0,1.0,40.88092377906468,41.18617932311765,0.0
P640,33.0,25.0,15.0,3.0,7.0,8.0,1.0,7.0,1.0,46.16944293435927,44.58762689325027,8.486404032596356
P641,33.0,15.0,8.0,5.0,2.0,18.0,10.0,5.0,3.0,44.57549756991667,43.05223712660737,0.0
P648,32.0,27.0,14.0,13.0,0,5.0,2.0,3.0,1.0,46.06586777707317,45.00258276059642,0.0
P649,27.0,8.0,6.0,1.0,1.0,19.0,4.0,14.0,1.0,43.48755416434253,41.34447089065933,0.0
L835,32.0,21.0,11.0,8.0,2.0,11.0,3.0,6.0,2.0,46.04559469298991,45.67913595791929,0.0
L834,28.0,5.0,3.0,1.0,1.0,23.0,9.0,11.0,3.0,45.42601569497561,43.26497052410137,0.0
L839,31.0,15.0,12.0,2.0,1.0,16.0,5.0,10.0,1.0,47.56502115850009,45.41843315124147,7.646282052414793
L838,29.0,10.0,6.0,4.0,0,19.0,7.0,12.0,1.0,47.58844888996398,45.41300254724684,0.0
A647,27.0,16.0,9.0,7.0,0,11.0,3.0,6.0,2.0,42.13336305694191,41.1698608950002,0.0
E740,27.0,17.0,8.0,8.0,1.0,10.0,1.0,7.0,2.0,43.359185343838924,43.106132232517766,0.0
E741,30.0,5.0,1.0,2.0,2.0,25.0,10.0,12.0,3.0,38.44494934969187,41.50974793992231,0.0
E742,25.0,3.0,3.0,0,0,22.0,8.0,13.0,1.0,42.607576784495855,0.0,0.0
E743,30.0,18.0,9.0,8.0,1.0,12.0,6.0,6.0,1.0,42.74428794111241,43.86394512762295,0.0
E744,30.0,16.0,9.0,4.0,3.0,14.0,3.0,10.0,1.0,44.07636938478111,43.59701572806536,0.0
E745,29.0,17.0,8.0,7.0,2.0,12.0,3.0,6.0,3.0,42.695778579854576,42.22833330106954,0.0
E746,30.0,15.0,9.0,3.0,3.0,15.0,6.0,6.0,3.0,43.799340028663885,41.591926994968375,0.0
E747,33.0,20.0,8.0,8.0,4.0,13.0,4.0,9.0,1.0,40.18140528928632,43.339212019075234,0.0
E749,31.0,19.0,10.0,6.0,3.0,12.0,3.0,7.0,2.0,42.40299571458944,43.095708149838146,1.0704414117014134
N657,29.0,8.0,4.0,3.0,1.0,21.0,8.0,11.0,2.0,46.61806292777436,46.550623509331245,0.0
N655,33.0,26.0,19.0,6.0,1.0,7.0,2.0,3.0,2.0,46.97735403580831,45.7113107955608,8.48016607057916
N654,31.0,14.0,8.0,5.0,1.0,17.0,7.0,9.0,1.0,44.088872447788816,47.192484874353596,0.0
N653,32.0,12.0,5.0,6.0,1.0,20.0,8.0,10.0,2.0,47.07560491714163,46.96894834151609,2.6390573296152584
N652,31.0,3.0,3.0,0,0,28.0,10.0,15.0,3.0,42.79310865964829,0.0,0.0
N651,33.0,28.0,16.0,8.0,4.0,5.0,2.0,1.0,2.0,47.34931477643396,48.54239550121049,11.268328424436847
N650,32.0,15.0,8.0,5.0,2.0,17.0,4.0,11.0,2.0,46.68737422734841,46.224557555742244,0.6931471805599453
N659,33.0,10.0,7.0,1.0,2.0,23.0,7.0,13.0,3.0,48.00333720375752,45.455491981376284,0.0
N658,30.0,16.0,9.0,7.0,0,14.0,5.0,7.0,2.0,47.924922128506864,48.471471825796556,0.0
P700,29.0,11.0,6.0,4.0,1.0,18.0,5.0,12.0,1.0,43.54960562984433,41.80525471686478,6.301519470411488
